CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,FFIEC_PATCH_STATUS
3511,2023-06-30,2587000.0,140750000.0,9436000.0,0.0,15252000.0,170199000.0,171207000.0,902000.0,902000.0,47717000.0,47717000.0,51587000.0,51587000.0,3192000.0,3114000.0,21579000.0,24728000.0,121961000.0,247788000.0,403700000.0,47716000.0,60871000.0,906764000.0,606000.0,2911000.0,706000.0,4027000.0,3865000.0,2106000.0,0.0,14221000.0,11000.0,18000.0,36000.0,14524000.0,35882000.0,142912000.0,40978000.0,557000.0,96000.0,135000.0,1225000.0,904000.0,164000.0,129000.0,29000.0,1944000.0,221000.0,SUCCESS
7213,2023-06-30,637000.0,57792000.0,13813000.0,0.0,231000.0,57499000.0,59651000.0,29000.0,30000.0,154992000.0,146046000.0,1000.0,0.0,328000.0,111000.0,11754000.0,6532000.0,26792000.0,129733000.0,292008000.0,153429000.0,10350000.0,618844000.0,51000.0,312000.0,478000.0,2472000.0,12116000.0,384000.0,0.0,15813000.0,84000.0,4000.0,0.0,23588000.0,63119000.0,64540000.0,58457000.0,1723000.0,0.0,0.0,0.0,2749000.0,558000.0,137000.0,37000.0,3124000.0,97000.0,SUCCESS
3510,2023-06-30,6209000.0,70382000.0,49100000.0,4952000.0,13510000.0,250005000.0,254229000.0,2193000.0,2193000.0,97009000.0,97009000.0,39256000.0,39256000.0,3042000.0,2809000.0,25043000.0,9731000.0,64559000.0,241555000.0,524073000.0,97009000.0,101483000.0,1038410000.0,74000.0,1264000.0,435000.0,3818000.0,6564000.0,758000.0,0.0,12913000.0,0.0,30000.0,0.0,15860000.0,51967000.0,66464000.0,65584000.0,914000.0,0.0,93000.0,213000.0,1405000.0,294000.0,19000.0,13000.0,2179000.0,239000.0,SUCCESS
628,2023-06-30,13840000.0,106089000.0,104080000.0,0.0,257000.0,157267000.0,160123000.0,176000.0,179000.0,167989000.0,167989000.0,61980000.0,61980000.0,586000.0,586000.0,18844000.0,10499000.0,131969000.0,326424000.0,565337000.0,167989000.0,62113000.0,1264331000.0,222000.0,1996000.0,1041000.0,7526000.0,10449000.0,685000.0,0.0,21919000.0,37000.0,37000.0,0.0,33957000.0,104278000.0,91353000.0,199230000.0,1446000.0,0.0,109000.0,576000.0,2172000.0,367000.0,1000.0,1000.0,3192000.0,402000.0,SUCCESS
32992,2023-06-30,1519000.0,45087000.0,6151000.0,0.0,0.0,5522000.0,5522000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708000.0,286000.0,8227000.0,0.0,60312000.0,0.0,0.0,68825000.0,3000.0,373000.0,0.0,201000.0,0.0,0.0,0.0,577000.0,0.0,39000.0,0.0,0.0,0.0,34110000.0,6627000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69000.0,0.0,SUCCESS
33124,2023-06-30,1108000.0,63876000.0,8341000.0,0.0,0.0,21270000.0,21289000.0,19000.0,19000.0,16747000.0,16747000.0,16000.0,16000.0,10000.0,10000.0,3256000.0,2554000.0,8024000.0,5839000.0,101224000.0,16747000.0,12244000.0,146632000.0,52000.0,240000.0,49000.0,1088000.0,2246000.0,483000.0,0.0,4158000.0,0.0,0.0,0.0,12015000.0,19015000.0,34451000.0,52321000.0,367000.0,0.0,0.0,1000.0,471000.0,19000.0,113000.0,31000.0,657000.0,42000.0,SUCCESS
34221,2023-06-30,3190000.0,4742000.0,25809000.0,0.0,0.0,4689000.0,4689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524000.0,0.0,6710000.0,57215000.0,63340000.0,0.0,2814000.0,130079000.0,0.0,104000.0,113000.0,40000.0,0.0,3000.0,0.0,260000.0,0.0,0.0,0.0,2000.0,0.0,6067000.0,9491000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2023-06-30,1471218.0,5254001.0,2840528.0,0.0,0.0,6641437.0,6641437.0,0.0,0.0,267190.0,267190.0,0.0,0.0,0.0,0.0,5007999.0,1418.0,2117291.0,28379539.0,15273902.0,267190.0,40443095.0,86482435.0,4.0,13766.0,96094.0,9281.0,1554.0,10942.0,0.0,131641.0,0.0,0.0,0.0,0.0,0.0,5198268.0,1390590.0,682.0,0.0,0.0,0.0,943.0,465.0,0.0,0.0,1133.0,190.0,SUCCESS
