CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ472,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2015-09-30,391000.0,59248000.0,9712000.0,0.0,11592000.0,154179000.0,155304000.0,2688000.0,2688000.0,25573000.0,25573000.0,57359000.0,57359000.0,4655000.0,4609000.0,5980000.0,8521000.0,6580000.0,48600000.0,71952000.0,67480000.0,327000.0,62000.0,113000.0,1110000.0,677000.0,98000.0,354000.0,76000.0,2848000.0,383000.0,,,,,,,,,,,,,SUCCESS
7213,2015-09-30,616000.0,27261000.0,30241000.0,0.0,1895000.0,41528000.0,43800000.0,0.0,6000.0,125830000.0,103465000.0,221000.0,0.0,1914000.0,551000.0,5715000.0,15897000.0,2690000.0,42505000.0,47514000.0,51335000.0,1541000.0,0.0,0.0,2000.0,4009000.0,812000.0,515000.0,159000.0,5611000.0,247000.0,,,,,,,,,,,,,SUCCESS
3510,2015-09-30,14663000.0,25846000.0,21855000.0,1230000.0,19947000.0,170261000.0,173146000.0,1572000.0,1572000.0,98406000.0,88339000.0,33563000.0,33563000.0,1213000.0,1213000.0,9141000.0,7196000.0,12447000.0,21918000.0,31798000.0,69453000.0,864000.0,14000.0,14000.0,182000.0,2282000.0,389000.0,309000.0,125000.0,4453000.0,329000.0,,,,,,,,,,,,,SUCCESS
628,2015-09-30,5178000.0,19664000.0,46299000.0,0.0,394000.0,95497000.0,97940000.0,258000.0,258000.0,26559000.0,25217000.0,45749000.0,45748000.0,749000.0,355000.0,16683000.0,0.0,4131000.0,30929000.0,23835000.0,142941000.0,212000.0,0.0,108000.0,536000.0,491000.0,54000.0,182000.0,20000.0,1853000.0,191000.0,,,,,,,,,,,,,SUCCESS
32992,2015-09-30,586000.0,10259000.0,8392000.0,,,9508000.0,,0.0,,,0.0,,0.0,,0.0,,31704000.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,9000.0,,0.0,0.0,1758000.0,13051000.0,8460000.0,0.0,0.0,96000.0,0.0,0.0,9000.0,0.0,SUCCESS
33124,2015-09-30,931000.0,13922000.0,5109000.0,0.0,0.0,10445000.0,10445000.0,49000.0,49000.0,0.0,0.0,0.0,0.0,5000.0,5000.0,1543000.0,5154000.0,10000.0,4036000.0,19238000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,,,,,,,,,SUCCESS
34221,2015-09-30,102000.0,0.0,1161000.0,,,563000.0,,0.0,,,0.0,,0.0,,0.0,,16542000.0,1000.0,15000.0,,,,,,,0.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,1376000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2015-09-30,68906.0,3170196.0,1875075.0,,,6040977.0,,4065.0,,,183096.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,1250.0,193.0,203.0,249.0,1599.0,,0.0,0.0,0.0,308680.0,529819.0,0.0,0.0,0.0,1831.0,0.0,0.0,100.0,SUCCESS
