CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,FFIEC_PATCH_STATUS
3511,2024-03-31,3480000.0,133819000.0,9585000.0,0.0,16492000.0,167366000.0,168415000.0,823000.0,823000.0,52774000.0,52774000.0,46205000.0,46205000.0,3440000.0,3360000.0,21998000.0,23615000.0,117521000.0,245992000.0,391771000.0,52035000.0,55248000.0,886182000.0,463000.0,3235000.0,603000.0,4177000.0,4321000.0,1627000.0,0.0,14426000.0,11000.0,46000.0,28000.0,24026000.0,57504000.0,150464000.0,42219000.0,704000.0,76000.0,109000.0,1016000.0,664000.0,88000.0,105000.0,11000.0,1395000.0,156000.0,SUCCESS
7213,2024-03-31,295000.0,57015000.0,14015000.0,0.0,231000.0,55722000.0,57957000.0,53000.0,84000.0,159246000.0,152171000.0,0.0,0.0,231000.0,71000.0,11787000.0,6336000.0,27507000.0,135512000.0,288438000.0,158941000.0,10618000.0,627352000.0,58000.0,432000.0,256000.0,2415000.0,12956000.0,412000.0,0.0,16529000.0,89000.0,8000.0,0.0,26732000.0,73499000.0,66864000.0,39384000.0,2149000.0,0.0,0.0,0.0,2099000.0,319000.0,84000.0,16000.0,2416000.0,65000.0,SUCCESS
3510,2024-03-31,8908000.0,70128000.0,49383000.0,5445000.0,14873000.0,252558000.0,256592000.0,1960000.0,1960000.0,98453000.0,98453000.0,39587000.0,39587000.0,3258000.0,3039000.0,27928000.0,10339000.0,61313000.0,240691000.0,525257000.0,98453000.0,100084000.0,1036137000.0,75000.0,1217000.0,353000.0,3399000.0,7296000.0,825000.0,0.0,13165000.0,0.0,36000.0,0.0,26417000.0,80437000.0,77025000.0,67692000.0,1146000.0,0.0,125000.0,292000.0,1045000.0,146000.0,19000.0,5000.0,1738000.0,186000.0,SUCCESS
628,2024-03-31,19138000.0,102044000.0,105630000.0,0.0,288000.0,160472000.0,163100000.0,170000.0,173000.0,179640000.0,179640000.0,62087000.0,62087000.0,560000.0,560000.0,21287000.0,10514000.0,128871000.0,320030000.0,545478000.0,206732000.0,62390000.0,1274015000.0,251000.0,2386000.0,683000.0,5656000.0,12600000.0,690000.0,0.0,22266000.0,38000.0,82000.0,0.0,56097000.0,148857000.0,86401000.0,170177000.0,1879000.0,0.0,131000.0,641000.0,1679000.0,216000.0,17000.0,0.0,2378000.0,295000.0,SUCCESS
32992,2024-03-31,1403000.0,44112000.0,4850000.0,0.0,0.0,4980000.0,4980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631000.0,317000.0,8325000.0,0.0,58660000.0,0.0,0.0,67302000.0,3000.0,451000.0,0.0,175000.0,0.0,0.0,0.0,629000.0,0.0,41000.0,0.0,0.0,0.0,43560000.0,6236000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
33124,2024-03-31,928000.0,77320000.0,7579000.0,0.0,0.0,19904000.0,19931000.0,19000.0,19000.0,18634000.0,18634000.0,9000.0,9000.0,34000.0,11000.0,2840000.0,2645000.0,7714000.0,6710000.0,114488000.0,16931000.0,7648000.0,156136000.0,72000.0,321000.0,36000.0,1216000.0,2320000.0,4000.0,0.0,3969000.0,0.0,0.0,0.0,16537000.0,22894000.0,46529000.0,46415000.0,390000.0,0.0,0.0,0.0,377000.0,24000.0,0.0,0.0,394000.0,13000.0,SUCCESS
34221,2024-03-31,3416000.0,4580000.0,27010000.0,0.0,0.0,4673000.0,4673000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316000.0,0.0,7000000.0,61339000.0,64408000.0,0.0,2014000.0,134761000.0,0.0,156000.0,89000.0,33000.0,0.0,4000.0,0.0,282000.0,0.0,0.0,0.0,1000.0,0.0,5387000.0,10372000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2024-03-31,1442671.0,5612404.0,2398190.0,0.0,0.0,6237856.0,6237856.0,0.0,0.0,251505.0,251505.0,0.0,0.0,0.0,0.0,4643040.0,2592.0,2301273.0,29092981.0,16156220.0,251505.0,34015467.0,81820038.0,6.0,28501.0,71192.0,9356.0,1029.0,2286.0,0.0,112370.0,0.0,0.0,0.0,0.0,0.0,5157300.0,1007418.0,792.0,0.0,0.0,0.0,330.0,257.0,0.0,0.0,687.0,357.0,SUCCESS
