CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ472,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2016-06-30,438000.0,67336000.0,10049000.0,0.0,18399000.0,171909000.0,172862000.0,2744000.0,2744000.0,27164000.0,27164000.0,60140000.0,60140000.0,4393000.0,4283000.0,7695000.0,9142000.0,5223000.0,68925000.0,73872000.0,72962000.0,297000.0,60000.0,101000.0,1083000.0,513000.0,80000.0,260000.0,50000.0,2406000.0,677000.0,,,,,,,,,,,,,SUCCESS
7213,2016-06-30,816000.0,30640000.0,32622000.0,0.0,1590000.0,49755000.0,52201000.0,17000.0,31000.0,134643000.0,114042000.0,169000.0,0.0,1321000.0,418000.0,5188000.0,19392000.0,2268000.0,46940000.0,43364000.0,49736000.0,1463000.0,0.0,0.0,1000.0,2689000.0,545000.0,342000.0,85000.0,3750000.0,254000.0,,,,,,,,,,,,,SUCCESS
3510,2016-06-30,15450000.0,33973000.0,23356000.0,1577000.0,21099000.0,178526000.0,182078000.0,1831000.0,1831000.0,97483000.0,88103000.0,38088000.0,38088000.0,714000.0,714000.0,9604000.0,7379000.0,11865000.0,24529000.0,33418000.0,75126000.0,755000.0,14000.0,15000.0,186000.0,1497000.0,246000.0,188000.0,72000.0,2826000.0,263000.0,,,,,,,,,,,,,SUCCESS
628,2016-06-30,6151000.0,20419000.0,55074000.0,0.0,361000.0,112453000.0,114126000.0,274000.0,274000.0,30072000.0,29988000.0,50022000.0,50022000.0,667000.0,565000.0,15783000.0,0.0,3687000.0,49485000.0,21114000.0,148474000.0,230000.0,0.0,103000.0,585000.0,419000.0,42000.0,83000.0,14000.0,1379000.0,240000.0,,,,,,,,,,,,,SUCCESS
32992,2016-06-30,792000.0,11056000.0,7998000.0,,,8801000.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,27000.0,,0.0,0.0,550000.0,10415000.0,6500000.0,0.0,0.0,555000.0,0.0,0.0,27000.0,0.0,SUCCESS
33124,2016-06-30,801000.0,12449000.0,6175000.0,0.0,0.0,10882000.0,10882000.0,47000.0,47000.0,0.0,0.0,0.0,0.0,5000.0,5000.0,1730000.0,5803000.0,444000.0,4608000.0,16239000.0,2403000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,17000.0,,,,,,,,,,,,,SUCCESS
34221,2016-06-30,80000.0,315000.0,3689000.0,,,1080000.0,,0.0,,,0.0,,0.0,,0.0,,79000.0,2000.0,21000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11000.0,729000.0,2305000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2016-06-30,52060.0,4109616.0,1858298.0,,,6222360.0,,4063.0,,,200848.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,1044.0,185.0,0.0,1.0,1044.0,,0.0,0.0,0.0,831422.0,684321.0,0.0,0.0,0.0,994.0,0.0,0.0,1434.0,SUCCESS
