CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2018-03-31,1254000.0,81588000.0,9885000.0,0.0,18886000.0,169433000.0,170349000.0,2725000.0,2725000.0,36102000.0,36102000.0,49158000.0,49158000.0,4305000.0,4279000.0,15444000.0,3918000.0,59520000.0,92374000.0,65024000.0,432000.0,105000.0,112000.0,1280000.0,405000.0,73000.0,127000.0,24000.0,1132000.0,139000.0,,,,,,,,,,,,,SUCCESS
7213,2018-03-31,1124000.0,31893000.0,29933000.0,0.0,1417000.0,52949000.0,55275000.0,76000.0,145000.0,144566000.0,124409000.0,56000.0,0.0,910000.0,134000.0,8123000.0,2125000.0,28179000.0,43008000.0,54298000.0,1642000.0,0.0,0.0,1000.0,1585000.0,266000.0,141000.0,45000.0,2035000.0,92000.0,,,,,,,,,,,,,SUCCESS
3510,2018-03-31,20502000.0,29303000.0,26251000.0,2727000.0,21798000.0,198243000.0,200713000.0,1944000.0,1944000.0,93560000.0,93560000.0,39903000.0,39903000.0,628000.0,628000.0,8906000.0,9144000.0,21128000.0,37441000.0,82630000.0,877000.0,24000.0,36000.0,270000.0,824000.0,123000.0,28000.0,14000.0,1285000.0,106000.0,,,,,,,,,,,,,SUCCESS
628,2018-03-31,8253000.0,27529000.0,59931000.0,0.0,239000.0,124809000.0,126517000.0,197000.0,197000.0,36538000.0,36471000.0,48756000.0,48756000.0,564000.0,542000.0,15920000.0,2832000.0,41404000.0,26372000.0,178289000.0,344000.0,0.0,115000.0,389000.0,347000.0,35000.0,2000.0,0.0,728000.0,74000.0,,,,,,,,,,,,,SUCCESS
32992,2018-03-31,1218000.0,19138000.0,6909000.0,,,7179000.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,102000.0,15949000.0,3871000.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,SUCCESS
33124,2018-03-31,912000.0,23974000.0,4485000.0,0.0,0.0,11110000.0,11110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559000.0,1926000.0,5033000.0,27577000.0,1140000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,51000.0,28000.0,,,,,,,,,,,,,SUCCESS
34221,2018-03-31,216000.0,3546000.0,6515000.0,,,2643000.0,,0.0,,,0.0,,0.0,,0.0,,0.0,10000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,131000.0,2946000.0,3629000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2018-03-31,31443.0,83620.0,2767190.0,,,5432137.0,,4104.0,,,216588.0,,0.0,,0.0,,0.0,0.0,,,,,,,884.0,86.0,0.0,0.0,1241.0,,0.0,0.0,0.0,265777.0,950739.0,0.0,0.0,0.0,1154.0,0.0,301.0,0.0,SUCCESS
