CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2021-09-30,2084000.0,120595000.0,6745000.0,0.0,15037000.0,139010000.0,140242000.0,1445000.0,1445000.0,36061000.0,36061000.0,53827000.0,53827000.0,3123000.0,3074000.0,15632000.0,21126000.0,114447000.0,240617000.0,346028000.0,36061000.0,62569000.0,820848000.0,402000.0,2398000.0,1165000.0,4608000.0,3356000.0,1386000.0,0.0,13315000.0,15000.0,18000.0,41000.0,3950000.0,13959000.0,107472000.0,65299000.0,270000.0,60000.0,206000.0,722000.0,949000.0,300000.0,207000.0,72000.0,2262000.0,358000.0,,,,,,,,,,,,,SUCCESS
7213,2021-09-30,567000.0,60031000.0,26337000.0,0.0,394000.0,51640000.0,53252000.0,63000.0,64000.0,135216000.0,119170000.0,3000.0,0.0,443000.0,48000.0,7297000.0,7107000.0,19404000.0,131724000.0,318387000.0,133071000.0,19811000.0,629504000.0,20000.0,167000.0,732000.0,2425000.0,12157000.0,570000.0,0.0,16071000.0,56000.0,1000.0,0.0,5552000.0,15652000.0,49958000.0,66480000.0,976000.0,0.0,0.0,0.0,3602000.0,981000.0,330000.0,111000.0,4511000.0,264000.0,,,,,,,,,,,,,SUCCESS
3510,2021-09-30,20214000.0,48080000.0,29504000.0,5487000.0,15036000.0,206024000.0,209468000.0,2159000.0,2159000.0,76955000.0,76955000.0,33523000.0,33523000.0,2813000.0,2468000.0,25534000.0,8295000.0,52427000.0,231807000.0,441668000.0,76869000.0,96893000.0,907959000.0,140000.0,1480000.0,557000.0,4328000.0,6055000.0,584000.0,0.0,13144000.0,0.0,34000.0,0.0,5028000.0,17080000.0,52432000.0,64396000.0,485000.0,6000.0,35000.0,104000.0,1956000.0,513000.0,59000.0,42000.0,3051000.0,487000.0,,,,,,,,,,,,,SUCCESS
628,2021-09-30,13053000.0,82214000.0,86936000.0,0.0,136000.0,126296000.0,128446000.0,66000.0,70000.0,127167000.0,127167000.0,61843000.0,61843000.0,734000.0,734000.0,18935000.0,5830000.0,92486000.0,221635000.0,473072000.0,127166000.0,61024000.0,981213000.0,193000.0,1134000.0,802000.0,4741000.0,10506000.0,764000.0,0.0,18140000.0,60000.0,12000.0,0.0,4305000.0,47457000.0,51114000.0,245969000.0,660000.0,0.0,86000.0,297000.0,2621000.0,687000.0,4000.0,2000.0,3596000.0,524000.0,,,,,,,,,,,,,SUCCESS
32992,2021-09-30,2020000.0,34532000.0,6249000.0,0.0,0.0,4752000.0,4752000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259000.0,314000.0,6938000.0,0.0,47118000.0,0.0,0.0,54370000.0,4000.0,192000.0,0.0,214000.0,0.0,0.0,0.0,410000.0,0.0,35000.0,0.0,0.0,0.0,25214000.0,6471000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102000.0,2000.0,,,,,,,,,,,,,SUCCESS
33124,2021-09-30,1773000.0,48150000.0,7817000.0,0.0,0.0,13141000.0,13227000.0,38000.0,38000.0,6251000.0,6251000.0,0.0,0.0,0.0,0.0,2417000.0,3470000.0,4819000.0,1772000.0,74738000.0,6251000.0,9610000.0,100660000.0,31000.0,82000.0,24000.0,832000.0,708000.0,535000.0,0.0,2212000.0,0.0,0.0,0.0,8045000.0,24098000.0,37165000.0,8116000.0,65000.0,0.0,0.0,0.0,95000.0,4000.0,107000.0,47000.0,263000.0,38000.0,,,,,,,,,,,,,SUCCESS
34221,2021-09-30,3106000.0,5582000.0,18586000.0,0.0,0.0,5471000.0,5471000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524000.0,0.0,5002000.0,41428000.0,54976000.0,0.0,949000.0,102355000.0,0.0,32000.0,56000.0,4000.0,0.0,2000.0,0.0,94000.0,0.0,0.0,0.0,0.0,0.0,3860000.0,7429000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,SUCCESS
57565,2021-09-30,2218346.0,87692.0,3331215.0,,,8414988.0,,0.0,,,223306.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,1174.0,615.0,0.0,0.0,2155.0,,0.0,0.0,5166672.0,205358.0,2530404.0,196.0,180.0,0.0,729.0,0.0,520.0,124.0,SUCCESS
