CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2022-03-31,5246000.0,127718000.0,6420000.0,0.0,14322000.0,157543000.0,158203000.0,1252000.0,1252000.0,38639000.0,38639000.0,57083000.0,57083000.0,3225000.0,3136000.0,20113000.0,20621000.0,121943000.0,240210000.0,381302000.0,38639000.0,65417000.0,868132000.0,281000.0,1828000.0,782000.0,3860000.0,3094000.0,1510000.0,0.0,11355000.0,15000.0,15000.0,43000.0,3490000.0,14329000.0,126429000.0,59132000.0,306000.0,79000.0,208000.0,875000.0,267000.0,91000.0,37000.0,21000.0,644000.0,36000.0,,,,,,,,,,,,,SUCCESS
7213,2022-03-31,638000.0,61405000.0,27981000.0,0.0,386000.0,51048000.0,53041000.0,62000.0,63000.0,139597000.0,123608000.0,2000.0,0.0,457000.0,63000.0,11501000.0,7274000.0,19070000.0,123966000.0,328180000.0,130775000.0,14708000.0,623973000.0,15000.0,147000.0,622000.0,2615000.0,10159000.0,383000.0,0.0,13941000.0,72000.0,3000.0,0.0,5324000.0,14267000.0,48587000.0,67084000.0,1090000.0,0.0,0.0,0.0,847000.0,272000.0,54000.0,22000.0,1092000.0,48000.0,,,,,,,,,,,,,SUCCESS
3510,2022-03-31,6782000.0,57411000.0,42849000.0,5752000.0,14086000.0,236071000.0,239640000.0,2187000.0,2187000.0,80944000.0,80944000.0,36102000.0,36102000.0,2733000.0,2480000.0,18097000.0,7493000.0,55040000.0,238069000.0,493671000.0,79356000.0,102540000.0,976169000.0,90000.0,1128000.0,468000.0,4145000.0,5684000.0,558000.0,0.0,12073000.0,0.0,37000.0,0.0,4325000.0,17547000.0,58869000.0,62176000.0,521000.0,9000.0,50000.0,112000.0,474000.0,177000.0,13000.0,11000.0,733000.0,65000.0,,,,,,,,,,,,,SUCCESS
628,2022-03-31,14257000.0,86898000.0,89023000.0,0.0,78000.0,135748000.0,138371000.0,41000.0,45000.0,134717000.0,134717000.0,60618000.0,60618000.0,937000.0,928000.0,18282000.0,5091000.0,95582000.0,227944000.0,503185000.0,134717000.0,60552000.0,1027071000.0,91000.0,1092000.0,963000.0,4978000.0,9392000.0,672000.0,0.0,17188000.0,32000.0,6000.0,0.0,3956000.0,56419000.0,58764000.0,307927000.0,742000.0,0.0,82000.0,349000.0,646000.0,203000.0,2000.0,0.0,948000.0,96000.0,,,,,,,,,,,,,SUCCESS
32992,2022-03-31,2164000.0,35403000.0,6873000.0,0.0,0.0,5545000.0,5545000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252000.0,337000.0,8069000.0,0.0,53141000.0,0.0,0.0,61547000.0,4000.0,198000.0,0.0,205000.0,0.0,0.0,0.0,407000.0,0.0,30000.0,0.0,0.0,0.0,29401000.0,7049000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,,,,,,,,,,,,,SUCCESS
33124,2022-03-31,1594000.0,51995000.0,8614000.0,0.0,0.0,16275000.0,16362000.0,38000.0,38000.0,10472000.0,10472000.0,39000.0,39000.0,9000.0,9000.0,2941000.0,3227000.0,7634000.0,3405000.0,87088000.0,10472000.0,11651000.0,123477000.0,61000.0,104000.0,41000.0,938000.0,1232000.0,592000.0,0.0,2968000.0,0.0,0.0,0.0,7361000.0,36941000.0,35352000.0,5835000.0,137000.0,0.0,0.0,1000.0,64000.0,3000.0,23000.0,16000.0,123000.0,1000.0,,,,,,,,,,,,,SUCCESS
34221,2022-03-31,3366000.0,5661000.0,24827000.0,0.0,0.0,4765000.0,4765000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491000.0,0.0,5512000.0,47236000.0,63055000.0,0.0,3428000.0,119231000.0,0.0,31000.0,71000.0,5000.0,0.0,3000.0,0.0,110000.0,0.0,0.0,0.0,2000.0,0.0,3535000.0,7698000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,,,,,,,,,,,,,SUCCESS
57565,2022-03-31,1796899.0,50077.0,3491477.0,,,9115889.0,,0.0,,,239779.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,346.0,199.0,58.0,0.0,532.0,,0.0,0.0,5608247.0,221778.0,2639383.0,41.0,25.0,0.0,651.0,0.0,102.0,1.0,SUCCESS
