CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2019-03-31,1113000.0,92030000.0,6864000.0,0.0,18771000.0,175967000.0,177993000.0,2548000.0,2548000.0,38279000.0,38279000.0,44913000.0,44913000.0,4719000.0,4645000.0,15857000.0,7695000.0,49930000.0,89615000.0,79161000.0,444000.0,69000.0,116000.0,972000.0,436000.0,85000.0,114000.0,26000.0,1052000.0,140000.0,,,,,,,,,,,,,SUCCESS
7213,2019-03-31,1332000.0,42992000.0,27195000.0,0.0,1327000.0,60306000.0,62381000.0,81000.0,83000.0,147490000.0,128414000.0,24000.0,0.0,569000.0,151000.0,9037000.0,8163000.0,53420000.0,41767000.0,70111000.0,1742000.0,0.0,0.0,0.0,1699000.0,276000.0,124000.0,41000.0,2010000.0,88000.0,,,,,,,,,,,,,SUCCESS
3510,2019-03-31,17733000.0,32930000.0,26981000.0,3533000.0,21238000.0,213198000.0,215131000.0,1972000.0,1972000.0,93009000.0,93009000.0,37294000.0,37294000.0,499000.0,499000.0,9756000.0,10283000.0,22658000.0,41926000.0,59325000.0,927000.0,23000.0,42000.0,270000.0,887000.0,143000.0,27000.0,12000.0,1333000.0,170000.0,,,,,,,,,,,,,SUCCESS
628,2019-03-31,8205000.0,31750000.0,70917000.0,0.0,336000.0,131135000.0,132637000.0,144000.0,145000.0,41007000.0,40996000.0,45732000.0,45732000.0,584000.0,574000.0,18358000.0,5004000.0,51542000.0,29787000.0,195972000.0,395000.0,0.0,109000.0,329000.0,396000.0,44000.0,4000.0,1000.0,730000.0,96000.0,,,,,,,,,,,,,SUCCESS
32992,2019-03-31,2245000.0,22249000.0,6285000.0,0.0,0.0,7455000.0,7455000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161000.0,0.0,0.0,16185000.0,8340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,,,,,,,,,,,,,SUCCESS
33124,2019-03-31,891000.0,29842000.0,3593000.0,0.0,0.0,12132000.0,12132000.0,14000.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,2349000.0,3802000.0,16015000.0,23404000.0,2745000.0,0.0,0.0,0.0,0.0,0.0,0.0,74000.0,3000.0,132000.0,58000.0,,,,,,,,,,,,,SUCCESS
34221,2019-03-31,320000.0,3529000.0,7771000.0,,,2911000.0,,0.0,,,0.0,,0.0,,0.0,,0.0,22000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,202000.0,3485000.0,4728000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2019-03-31,150816.0,53261.0,2828922.0,,,5191533.0,,2148.0,,,227731.0,,0.0,,0.0,,0.0,0.0,,,,,,,520.0,102.0,0.0,0.0,520.0,,0.0,0.0,0.0,167305.0,1283420.0,0.0,0.0,0.0,1388.0,0.0,0.0,0.0,SUCCESS
