CERT,REPDTE,RCFD1545,RCON1545,RCFDJ454,RCONJ454,RCONJ451,RCFDJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,FFIEC_PATCH_STATUS
3511,2025-06-30,17254000.0,17254000.0,174152000.0,155191000.0,6937000.0,7143000.0,0.0,16082000.0,165963000.0,167124000.0,730000.0,730000.0,55318000.0,55318000.0,42878000.0,42878000.0,3008000.0,2917000.0,23520000.0,19167000.0,106108000.0,235866000.0,423287000.0,55318000.0,49549000.0,889295000.0,495000.0,2768000.0,579000.0,3961000.0,4910000.0,1255000.0,0.0,13968000.0,12000.0,68000.0,12000.0,29531000.0,29728000.0,36834000.0,706000.0,47000.0,76000.0,693000.0,1519000.0,247000.0,156000.0,28000.0,2610000.0,315000.0,SUCCESS
7213,2025-06-30,40854000.0,15687000.0,105646000.0,66439000.0,8849000.0,20613000.0,0.0,189000.0,61441000.0,64244000.0,32000.0,47000.0,166786000.0,160358000.0,0.0,0.0,234000.0,59000.0,12483000.0,7148000.0,27281000.0,139758000.0,332052000.0,166235000.0,6958000.0,679432000.0,83000.0,634000.0,214000.0,2385000.0,13390000.0,499000.0,0.0,17205000.0,83000.0,30000.0,0.0,25126000.0,60897000.0,91783000.0,2075000.0,0.0,0.0,0.0,4475000.0,818000.0,177000.0,33000.0,5102000.0,167000.0,SUCCESS
3510,2025-06-30,86133000.0,85301000.0,179585000.0,143604000.0,26788000.0,27526000.0,6904000.0,16267000.0,232233000.0,236844000.0,1628000.0,1628000.0,101209000.0,101209000.0,39644000.0,39644000.0,2917000.0,2631000.0,32884000.0,9211000.0,56465000.0,250801000.0,606149000.0,101209000.0,106795000.0,1130630000.0,81000.0,1001000.0,343000.0,3621000.0,7456000.0,776000.0,0.0,13278000.0,0.0,34000.0,0.0,34225000.0,72680000.0,82536000.0,1132000.0,0.0,139000.0,266000.0,2324000.0,370000.0,44000.0,11000.0,3558000.0,534000.0,SUCCESS
628,2025-06-30,127185000.0,76934000.0,205836000.0,168841000.0,49925000.0,58265000.0,0.0,121000.0,167827000.0,170078000.0,119000.0,119000.0,201630000.0,201589000.0,58407000.0,58407000.0,522000.0,522000.0,31515000.0,12066000.0,129253000.0,305103000.0,623315000.0,232938000.0,58910000.0,1361585000.0,224000.0,2213000.0,777000.0,6079000.0,15000000.0,616000.0,0.0,24909000.0,29000.0,44000.0,0.0,53765000.0,165847000.0,103742000.0,1949000.0,0.0,144000.0,696000.0,3916000.0,661000.0,8000.0,12000.0,5734000.0,1155000.0,SUCCESS
32992,2025-06-30,15441000.0,15441000.0,64030000.0,64030000.0,258000.0,258000.0,0.0,0.0,2202000.0,2202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339000.0,386000.0,7787000.0,0.0,79161000.0,0.0,0.0,87334000.0,7000.0,375000.0,0.0,247000.0,0.0,0.0,0.0,629000.0,0.0,60000.0,0.0,0.0,51000.0,6345000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62000.0,0.0,SUCCESS
33124,2025-06-30,19011000.0,15109000.0,104121000.0,103846000.0,5500000.0,5675000.0,0.0,0.0,16732000.0,16812000.0,19000.0,19000.0,20770000.0,20770000.0,3000.0,3000.0,47000.0,23000.0,3393000.0,3121000.0,8713000.0,8174000.0,150371000.0,19275000.0,1068000.0,190722000.0,61000.0,237000.0,33000.0,972000.0,2467000.0,1000.0,0.0,3771000.0,0.0,0.0,0.0,24124000.0,27442000.0,71758000.0,427000.0,0.0,0.0,0.0,686000.0,75000.0,0.0,0.0,844000.0,152000.0,SUCCESS
34221,2025-06-30,71608000.0,71608000.0,5298000.0,5298000.0,2262000.0,2262000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664000.0,0.0,7330000.0,69254000.0,79168000.0,0.0,473000.0,156225000.0,0.0,167000.0,120000.0,100000.0,0.0,10000.0,0.0,397000.0,0.0,0.0,0.0,266000.0,100000.0,11342000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2025-06-30,46567931.0,46567931.0,5579092.0,5579092.0,23243.0,23243.0,0.0,0.0,608959.0,608959.0,0.0,0.0,293533.0,293533.0,0.0,0.0,0.0,0.0,10358367.0,2852.0,2128241.0,30918152.0,52779225.0,293533.0,886050.0,87008053.0,11.0,35356.0,45134.0,7689.0,906.0,1549.0,0.0,90645.0,0.0,0.0,0.0,0.0,0.0,1190821.0,908.0,0.0,0.0,0.0,664.0,398.0,0.0,0.0,28785.0,352.0,SUCCESS
