CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,FFIEC_PATCH_STATUS
3511,2023-03-31,2792000.0,138410000.0,9002000.0,0.0,14743000.0,171918000.0,172946000.0,964000.0,1007000.0,45766000.0,45766000.0,52631000.0,52631000.0,3282000.0,3207000.0,20410000.0,24187000.0,122906000.0,249277000.0,403377000.0,45766000.0,61678000.0,907191000.0,575000.0,2012000.0,721000.0,4035000.0,3641000.0,2089000.0,0.0,13073000.0,11000.0,18000.0,37000.0,10559000.0,18446000.0,141780000.0,44408000.0,486000.0,80000.0,145000.0,1107000.0,424000.0,80000.0,58000.0,14000.0,906000.0,86000.0,SUCCESS
7213,2023-03-31,629000.0,57308000.0,17233000.0,0.0,306000.0,56069000.0,58187000.0,36000.0,38000.0,147977000.0,139093000.0,2000.0,0.0,368000.0,114000.0,13405000.0,6800000.0,27609000.0,127984000.0,292630000.0,146385000.0,10657000.0,612065000.0,40000.0,266000.0,448000.0,2641000.0,11843000.0,381000.0,0.0,15619000.0,90000.0,1000.0,0.0,21376000.0,59352000.0,54866000.0,67259000.0,1533000.0,0.0,0.0,0.0,1282000.0,258000.0,66000.0,16000.0,1458000.0,42000.0,SUCCESS
3510,2023-03-31,6293000.0,66935000.0,49149000.0,4840000.0,13470000.0,251789000.0,255989000.0,2228000.0,2228000.0,92469000.0,92469000.0,38978000.0,38978000.0,3106000.0,2832000.0,23720000.0,9679000.0,63373000.0,241432000.0,523601000.0,92469000.0,101582000.0,1032136000.0,75000.0,1178000.0,415000.0,3869000.0,6220000.0,738000.0,0.0,12495000.0,0.0,30000.0,0.0,11099000.0,35131000.0,64990000.0,64210000.0,846000.0,0.0,88000.0,186000.0,649000.0,149000.0,9000.0,7000.0,1055000.0,133000.0,SUCCESS
628,2023-03-31,13555000.0,93436000.0,95018000.0,0.0,40000.0,153543000.0,156238000.0,60000.0,63000.0,158151000.0,158151000.0,58489000.0,58489000.0,546000.0,546000.0,17855000.0,6725000.0,100606000.0,236118000.0,534810000.0,158151000.0,58556000.0,1094966000.0,132000.0,1454000.0,674000.0,6687000.0,10394000.0,678000.0,0.0,20019000.0,34000.0,27000.0,0.0,22928000.0,94092000.0,62715000.0,199289000.0,1337000.0,0.0,102000.0,521000.0,995000.0,180000.0,1000.0,0.0,1416000.0,172000.0,SUCCESS
32992,2023-03-31,1466000.0,43736000.0,6641000.0,0.0,0.0,5085000.0,5085000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690000.0,294000.0,8149000.0,0.0,60559000.0,0.0,0.0,69002000.0,3000.0,325000.0,0.0,201000.0,0.0,0.0,0.0,529000.0,0.0,30000.0,0.0,0.0,0.0,29145000.0,6487000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69000.0,0.0,SUCCESS
33124,2023-03-31,1155000.0,61004000.0,9110000.0,0.0,0.0,22193000.0,22232000.0,19000.0,19000.0,15444000.0,15444000.0,22000.0,22000.0,10000.0,10000.0,3577000.0,2662000.0,8198000.0,5477000.0,100650000.0,15444000.0,10797000.0,143228000.0,42000.0,192000.0,48000.0,1048000.0,2103000.0,376000.0,0.0,3809000.0,0.0,0.0,0.0,8261000.0,18201000.0,31755000.0,39077000.0,292000.0,0.0,1000.0,0.0,216000.0,8000.0,53000.0,16000.0,286000.0,17000.0,SUCCESS
34221,2023-03-31,3185000.0,5081000.0,25872000.0,0.0,0.0,4686000.0,4686000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536000.0,0.0,6615000.0,55400000.0,63756000.0,0.0,2927000.0,128698000.0,0.0,63000.0,113000.0,17000.0,0.0,4000.0,0.0,197000.0,0.0,0.0,0.0,2000.0,0.0,5308000.0,9045000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2023-03-31,1615625.0,5407172.0,2924662.0,0.0,0.0,6800506.0,6800506.0,0.0,0.0,258357.0,258357.0,0.0,0.0,0.0,0.0,5349777.0,1026.0,2102225.0,28006277.0,15713523.0,258357.0,41823660.0,87905068.0,3.0,13777.0,97095.0,8713.0,1606.0,11393.0,0.0,132587.0,0.0,0.0,0.0,0.0,0.0,4185024.0,1352175.0,749.0,0.0,0.0,0.0,509.0,346.0,0.0,0.0,555.0,46.0,SUCCESS
