CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2019-06-30,1320000.0,92903000.0,5923000.0,0.0,18967000.0,174191000.0,175782000.0,2559000.0,2559000.0,38820000.0,38820000.0,45664000.0,45664000.0,4309000.0,4223000.0,15705000.0,9259000.0,48448000.0,94877000.0,78636000.0,446000.0,63000.0,115000.0,985000.0,874000.0,172000.0,231000.0,51000.0,2069000.0,318000.0,,,,,,,,,,,,,SUCCESS
7213,2019-06-30,1305000.0,41125000.0,28530000.0,0.0,1304000.0,60132000.0,62253000.0,80000.0,83000.0,151966000.0,132344000.0,20000.0,0.0,576000.0,140000.0,8089000.0,9603000.0,57976000.0,43641000.0,65473000.0,1704000.0,0.0,0.0,0.0,3411000.0,558000.0,252000.0,77000.0,4043000.0,167000.0,,,,,,,,,,,,,SUCCESS
3510,2019-06-30,19152000.0,36469000.0,26723000.0,3741000.0,20420000.0,215531000.0,217757000.0,2044000.0,2044000.0,93989000.0,93989000.0,37501000.0,37501000.0,499000.0,499000.0,13159000.0,12342000.0,21955000.0,45224000.0,61593000.0,898000.0,22000.0,40000.0,278000.0,1794000.0,287000.0,55000.0,27000.0,2789000.0,327000.0,,,,,,,,,,,,,SUCCESS
628,2019-06-30,8510000.0,37827000.0,74250000.0,0.0,535000.0,136953000.0,138679000.0,152000.0,155000.0,142090000.0,142083000.0,45624000.0,45624000.0,746000.0,738000.0,17920000.0,7343000.0,46079000.0,29898000.0,178285000.0,1210000.0,0.0,107000.0,417000.0,2531000.0,272000.0,9000.0,3000.0,3346000.0,311000.0,,,,,,,,,,,,,SUCCESS
32992,2019-06-30,2407000.0,26406000.0,6275000.0,0.0,0.0,5733000.0,5733000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0,0.0,0.0,16284000.0,6636000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,,,,,,,,,,,,,SUCCESS
33124,2019-06-30,1052000.0,29610000.0,3754000.0,0.0,0.0,11619000.0,11619000.0,14000.0,14000.0,15000.0,15000.0,0.0,0.0,0.0,0.0,2027000.0,4453000.0,12266000.0,27320000.0,3619000.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,5000.0,215000.0,58000.0,,,,,,,,,,,,,SUCCESS
34221,2019-06-30,369000.0,3278000.0,8711000.0,,,3138000.0,,0.0,,,0.0,,0.0,,0.0,,0.0,26000.0,,,,,,,0.0,0.0,0.0,0.0,1000.0,,0.0,0.0,284000.0,3313000.0,5107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2019-06-30,119650.0,84524.0,2729705.0,,,5130286.0,,2997.0,,,251105.0,,0.0,,0.0,,0.0,0.0,,,,,,,943.0,173.0,0.0,0.0,943.0,,0.0,0.0,0.0,185780.0,1733267.0,0.0,0.0,0.0,759.0,0.0,0.0,0.0,SUCCESS
