CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2020-06-30,1873000.0,103436000.0,9073000.0,0.0,17034000.0,170704000.0,172128000.0,2109000.0,2109000.0,36018000.0,36018000.0,48808000.0,48808000.0,3909000.0,3832000.0,17581000.0,21710000.0,116348000.0,289309000.0,367286000.0,36018000.0,70710000.0,901381000.0,443000.0,2373000.0,1865000.0,7408000.0,3777000.0,2721000.0,0.0,18587000.0,9000.0,11000.0,0.0,7082000.0,26725000.0,90251000.0,63703000.0,339000.0,54000.0,129000.0,765000.0,885000.0,182000.0,195000.0,44000.0,2433000.0,664000.0,,,,,,,,,,,,,SUCCESS
7213,2020-06-30,838000.0,50260000.0,24849000.0,0.0,837000.0,65451000.0,68151000.0,69000.0,74000.0,138523000.0,121403000.0,9000.0,0.0,593000.0,23000.0,7002000.0,6110000.0,17426000.0,134849000.0,323942000.0,138522000.0,25963000.0,646812000.0,35000.0,307000.0,1351000.0,5718000.0,15355000.0,804000.0,0.0,23570000.0,71000.0,0.0,0.0,8940000.0,27366000.0,45092000.0,71258000.0,1357000.0,0.0,0.0,0.0,3550000.0,571000.0,249000.0,71000.0,4443000.0,280000.0,,,,,,,,,,,,,SUCCESS
3510,2020-06-30,12864000.0,36328000.0,31412000.0,4386000.0,17845000.0,253824000.0,257188000.0,1842000.0,1842000.0,84244000.0,84244000.0,35286000.0,35286000.0,509000.0,509000.0,11898000.0,7407000.0,56687000.0,268291000.0,479345000.0,84244000.0,85841000.0,981815000.0,196000.0,2039000.0,811000.0,6195000.0,9247000.0,874000.0,0.0,19362000.0,0.0,18000.0,0.0,11414000.0,21979000.0,42400000.0,122752000.0,638000.0,18000.0,32000.0,171000.0,1742000.0,308000.0,49000.0,27000.0,2895000.0,573000.0,,,,,,,,,,,,,SUCCESS
628,2020-06-30,9141000.0,48311000.0,82021000.0,0.0,366000.0,167711000.0,170381000.0,120000.0,125000.0,126876000.0,126876000.0,46193000.0,46193000.0,663000.0,650000.0,19923000.0,6063000.0,96254000.0,235161000.0,455272000.0,126875000.0,46500000.0,966125000.0,349000.0,1403000.0,3184000.0,10190000.0,15958000.0,987000.0,0.0,32071000.0,15000.0,8000.0,0.0,10206000.0,48352000.0,37491000.0,220687000.0,950000.0,1000.0,104000.0,203000.0,2611000.0,359000.0,5000.0,2000.0,3779000.0,561000.0,,,,,,,,,,,,,SUCCESS
32992,2020-06-30,1510000.0,30790000.0,5814000.0,0.0,0.0,8832000.0,8832000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233000.0,128000.0,7295000.0,0.0,38469000.0,0.0,8062000.0,53954000.0,3000.0,229000.0,0.0,250000.0,0.0,0.0,0.0,482000.0,0.0,27000.0,0.0,0.0,0.0,19277000.0,6905000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32000.0,32000.0,,,,,,,,,,,,,SUCCESS
33124,2020-06-30,942000.0,31839000.0,5042000.0,0.0,0.0,20052000.0,20052000.0,14000.0,14000.0,2282000.0,2282000.0,0.0,0.0,0.0,0.0,1545000.0,2634000.0,3982000.0,291000.0,63054000.0,2282000.0,7526000.0,79769000.0,25000.0,66000.0,2000.0,1263000.0,327000.0,858000.0,0.0,2541000.0,0.0,0.0,0.0,10127000.0,24519000.0,22992000.0,4379000.0,22000.0,0.0,0.0,0.0,31000.0,0.0,150000.0,14000.0,391000.0,147000.0,,,,,,,,,,,,,SUCCESS
34221,2020-06-30,1412000.0,3747000.0,11401000.0,0.0,0.0,3679000.0,3679000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441000.0,0.0,4895000.0,32193000.0,19477000.0,0.0,13128000.0,69693000.0,0.0,33000.0,58000.0,15000.0,0.0,4000.0,0.0,110000.0,0.0,0.0,0.0,0.0,18000.0,4645000.0,6002000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,SUCCESS
57565,2020-06-30,441223.0,43864.0,2833411.0,,,5865631.0,,2966.0,,,190969.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,1115.0,216.0,1034.0,0.0,4464.0,,0.0,0.0,0.0,230091.0,2026961.0,682.0,60.0,190744.0,924.0,0.0,210.0,0.0,SUCCESS
