CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2020-09-30,1575000.0,100712000.0,7064000.0,0.0,16571000.0,151800000.0,153332000.0,1851000.0,1851000.0,36021000.0,36021000.0,48450000.0,48450000.0,3608000.0,3537000.0,16723000.0,22533000.0,114238000.0,306118000.0,339904000.0,36021000.0,70795000.0,889609000.0,501000.0,2508000.0,1908000.0,7567000.0,4082000.0,2583000.0,0.0,19149000.0,13000.0,14000.0,0.0,6092000.0,20611000.0,92445000.0,61731000.0,338000.0,50000.0,176000.0,752000.0,1226000.0,276000.0,262000.0,67000.0,3419000.0,959000.0,,,,,,,,,,,,,SUCCESS
7213,2020-09-30,800000.0,51293000.0,26071000.0,0.0,672000.0,55242000.0,58691000.0,66000.0,71000.0,136102000.0,118933000.0,7000.0,0.0,450000.0,23000.0,5687000.0,6356000.0,20306000.0,136928000.0,304090000.0,136110000.0,26343000.0,630133000.0,39000.0,363000.0,1296000.0,5391000.0,15440000.0,779000.0,0.0,23308000.0,48000.0,8000.0,0.0,7712000.0,21661000.0,46429000.0,72352000.0,1276000.0,0.0,0.0,0.0,5103000.0,896000.0,375000.0,111000.0,6543000.0,475000.0,,,,,,,,,,,,,SUCCESS
3510,2020-09-30,13350000.0,37719000.0,30587000.0,4641000.0,17096000.0,229455000.0,232675000.0,1872000.0,1872000.0,79834000.0,79834000.0,33843000.0,33843000.0,568000.0,568000.0,11614000.0,7541000.0,54913000.0,260407000.0,452155000.0,79834000.0,86978000.0,941828000.0,492000.0,1791000.0,829000.0,6617000.0,8972000.0,865000.0,0.0,19566000.0,0.0,19000.0,0.0,10177000.0,17573000.0,42774000.0,81251000.0,725000.0,16000.0,29000.0,194000.0,2407000.0,464000.0,69000.0,41000.0,4188000.0,816000.0,,,,,,,,,,,,,SUCCESS
628,2020-09-30,9647000.0,54952000.0,80790000.0,0.0,317000.0,151213000.0,153082000.0,102000.0,106000.0,125694000.0,125694000.0,49773000.0,49773000.0,639000.0,626000.0,18639000.0,6288000.0,95390000.0,229664000.0,444701000.0,124907000.0,50130000.0,951080000.0,313000.0,1627000.0,2914000.0,9018000.0,15942000.0,987000.0,0.0,30801000.0,64000.0,56000.0,0.0,6725000.0,45750000.0,41795000.0,223114000.0,1080000.0,1000.0,111000.0,284000.0,3724000.0,559000.0,7000.0,3000.0,5365000.0,796000.0,,,,,,,,,,,,,SUCCESS
32992,2020-09-30,1601000.0,31467000.0,5937000.0,0.0,0.0,6833000.0,6833000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252000.0,163000.0,7346000.0,0.0,42905000.0,0.0,8369000.0,58783000.0,5000.0,220000.0,0.0,325000.0,0.0,0.0,0.0,550000.0,0.0,23000.0,0.0,0.0,0.0,19841000.0,6903000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.0,33000.0,,,,,,,,,,,,,SUCCESS
33124,2020-09-30,926000.0,30898000.0,5566000.0,0.0,0.0,15097000.0,15097000.0,21000.0,21000.0,2908000.0,2908000.0,0.0,0.0,0.0,0.0,1661000.0,2830000.0,4040000.0,300000.0,56592000.0,2908000.0,7871000.0,74541000.0,24000.0,63000.0,2000.0,1105000.0,388000.0,785000.0,0.0,2367000.0,0.0,0.0,0.0,10595000.0,17564000.0,24233000.0,3732000.0,27000.0,0.0,0.0,0.0,54000.0,1000.0,199000.0,22000.0,556000.0,227000.0,,,,,,,,,,,,,SUCCESS
34221,2020-09-30,1704000.0,3986000.0,12557000.0,0.0,0.0,3914000.0,3914000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419000.0,0.0,4877000.0,33674000.0,21162000.0,0.0,15544000.0,75257000.0,0.0,30000.0,58000.0,16000.0,0.0,3000.0,0.0,107000.0,0.0,0.0,0.0,0.0,20000.0,4663000.0,6260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,SUCCESS
57565,2020-09-30,792169.0,61527.0,3105140.0,,,6336599.0,,723.0,,,196707.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,1496.0,441.0,1037.0,0.0,4955.0,,0.0,0.0,0.0,212090.0,1756790.0,473.0,352.0,40490.0,1146.0,0.0,228.0,0.0,SUCCESS
