CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2019-09-30,1487000.0,96093000.0,6575000.0,0.0,19198000.0,173748000.0,175229000.0,2284000.0,2284000.0,39629000.0,39629000.0,46738000.0,46738000.0,4320000.0,4239000.0,16235000.0,9648000.0,52792000.0,84705000.0,75867000.0,506000.0,75000.0,110000.0,1026000.0,1278000.0,258000.0,341000.0,75000.0,3054000.0,469000.0,,,,,,,,,,,,,SUCCESS
7213,2019-09-30,843000.0,45225000.0,26383000.0,0.0,1227000.0,56746000.0,58733000.0,78000.0,81000.0,152978000.0,133771000.0,16000.0,0.0,443000.0,84000.0,9294000.0,10555000.0,42496000.0,46728000.0,63264000.0,1900000.0,0.0,0.0,0.0,5043000.0,819000.0,377000.0,114000.0,6011000.0,258000.0,,,,,,,,,,,,,SUCCESS
3510,2019-09-30,19303000.0,35770000.0,26630000.0,3981000.0,20107000.0,220528000.0,222834000.0,2010000.0,2010000.0,94946000.0,94946000.0,37365000.0,37365000.0,566000.0,566000.0,14319000.0,14279000.0,23006000.0,43614000.0,61727000.0,977000.0,22000.0,40000.0,272000.0,2659000.0,436000.0,110000.0,44000.0,4292000.0,475000.0,,,,,,,,,,,,,SUCCESS
628,2019-09-30,8268000.0,44238000.0,74193000.0,0.0,498000.0,133485000.0,135399000.0,132000.0,137000.0,143620000.0,143620000.0,45890000.0,45890000.0,709000.0,703000.0,18186000.0,9924000.0,64267000.0,29884000.0,193090000.0,1366000.0,0.0,109000.0,440000.0,3745000.0,416000.0,12000.0,8000.0,5022000.0,495000.0,,,,,,,,,,,,,SUCCESS
32992,2019-09-30,2159000.0,28085000.0,6064000.0,0.0,0.0,7218000.0,7218000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204000.0,0.0,0.0,16830000.0,6817000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,,,,,,,,,,,,,SUCCESS
33124,2019-09-30,1024000.0,31237000.0,4006000.0,0.0,0.0,11334000.0,11334000.0,14000.0,14000.0,736000.0,736000.0,0.0,0.0,0.0,0.0,1676000.0,5157000.0,12934000.0,27277000.0,3673000.0,0.0,0.0,0.0,0.0,0.0,0.0,244000.0,9000.0,303000.0,58000.0,,,,,,,,,,,,,SUCCESS
34221,2019-09-30,406000.0,3918000.0,9270000.0,,,3268000.0,,0.0,,,0.0,,0.0,,0.0,,0.0,17000.0,,,,,,,0.0,0.0,0.0,0.0,1000.0,,0.0,0.0,278000.0,2877000.0,5289000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2019-09-30,95884.0,79199.0,2690251.0,,,5203678.0,,2989.0,,,249126.0,,0.0,,0.0,,0.0,0.0,,,,,,,1443.0,320.0,0.0,0.0,1443.0,,0.0,0.0,0.0,171029.0,1617493.0,0.0,0.0,0.0,1388.0,0.0,0.0,0.0,SUCCESS
