CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2020-03-31,1854000.0,119081000.0,8378000.0,0.0,18724000.0,202078000.0,203726000.0,2252000.0,2252000.0,38582000.0,38582000.0,48568000.0,48568000.0,4025000.0,3947000.0,20394000.0,20814000.0,115661000.0,297336000.0,423472000.0,38582000.0,72008000.0,967873000.0,27000.0,840000.0,709000.0,3538000.0,3481000.0,2298000.0,0.0,10893000.0,9000.0,2000.0,0.0,7906000.0,39683000.0,83129000.0,73760000.0,476000.0,69000.0,99000.0,1047000.0,471000.0,94000.0,113000.0,24000.0,1068000.0,182000.0,,,,,,,,,,,,,SUCCESS
7213,2020-03-31,948000.0,56376000.0,29270000.0,0.0,957000.0,71355000.0,74028000.0,69000.0,74000.0,147951000.0,130318000.0,10000.0,0.0,756000.0,28000.0,9674000.0,6235000.0,16511000.0,131399000.0,354828000.0,147943000.0,26799000.0,683715000.0,22000.0,181000.0,967000.0,2910000.0,13579000.0,670000.0,0.0,18329000.0,37000.0,0.0,0.0,10288000.0,29713000.0,42558000.0,59563000.0,1793000.0,0.0,0.0,0.0,1817000.0,315000.0,123000.0,38000.0,2178000.0,139000.0,,,,,,,,,,,,,SUCCESS
3510,2020-03-31,13372000.0,41428000.0,32289000.0,4360000.0,18820000.0,268457000.0,271798000.0,1807000.0,1807000.0,91890000.0,91890000.0,36881000.0,36881000.0,514000.0,514000.0,12408000.0,7765000.0,58889000.0,272820000.0,510113000.0,91890000.0,87330000.0,1028807000.0,122000.0,1317000.0,787000.0,5258000.0,7583000.0,674000.0,0.0,15741000.0,0.0,16000.0,0.0,12791000.0,27207000.0,37978000.0,66357000.0,909000.0,22000.0,35000.0,278000.0,924000.0,154000.0,27000.0,15000.0,1437000.0,266000.0,,,,,,,,,,,,,SUCCESS
628,2020-03-31,10377000.0,57835000.0,84739000.0,0.0,470000.0,172775000.0,174484000.0,147000.0,151000.0,137506000.0,137506000.0,45230000.0,45230000.0,719000.0,705000.0,22381000.0,6316000.0,95772000.0,241738000.0,478855000.0,137506000.0,46652000.0,1006839000.0,71000.0,1014000.0,2328000.0,5606000.0,13557000.0,659000.0,0.0,23235000.0,18000.0,1000.0,0.0,13209000.0,54328000.0,27753000.0,189169000.0,1289000.0,0.0,110000.0,471000.0,1359000.0,169000.0,2000.0,1000.0,1902000.0,262000.0,,,,,,,,,,,,,SUCCESS
32992,2020-03-31,1646000.0,34089000.0,5957000.0,0.0,0.0,11639000.0,11639000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231000.0,180000.0,7080000.0,0.0,43410000.0,0.0,8018000.0,58688000.0,2000.0,140000.0,0.0,192000.0,0.0,0.0,0.0,334000.0,0.0,25000.0,0.0,0.0,0.0,15196000.0,6489000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32000.0,32000.0,,,,,,,,,,,,,SUCCESS
33124,2020-03-31,1017000.0,35489000.0,5224000.0,0.0,0.0,25484000.0,25484000.0,14000.0,14000.0,2081000.0,2081000.0,0.0,0.0,0.0,0.0,1582000.0,2707000.0,3586000.0,345000.0,72672000.0,2081000.0,7582000.0,88973000.0,10000.0,34000.0,1000.0,896000.0,240000.0,710000.0,0.0,1891000.0,0.0,0.0,0.0,7987000.0,18847000.0,21123000.0,6137000.0,35000.0,0.0,0.0,0.0,4000.0,0.0,84000.0,7000.0,111000.0,23000.0,,,,,,,,,,,,,SUCCESS
34221,2020-03-31,761000.0,4801000.0,10687000.0,0.0,0.0,3539000.0,3539000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284000.0,0.0,4795000.0,31100000.0,19692000.0,0.0,11552000.0,67139000.0,0.0,28000.0,47000.0,11000.0,0.0,1000.0,0.0,87000.0,0.0,0.0,0.0,0.0,12000.0,4024000.0,5870000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,SUCCESS
57565,2020-03-31,295928.0,57484.0,2830442.0,,,5125417.0,,2975.0,,,191475.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,651.0,121.0,1023.0,0.0,2278.0,,0.0,0.0,0.0,216536.0,2244192.0,0.0,0.0,192678.0,1013.0,0.0,190.0,0.0,SUCCESS
