CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,FFIEC_PATCH_STATUS
3511,2023-12-31,3385000.0,139681000.0,9406000.0,0.0,16337000.0,166593000.0,167691000.0,834000.0,834000.0,53047000.0,53047000.0,47763000.0,47763000.0,3587000.0,3508000.0,21614000.0,23817000.0,119320000.0,248639000.0,400060000.0,52230000.0,57049000.0,901115000.0,505000.0,3334000.0,654000.0,4091000.0,4223000.0,1800000.0,0.0,14607000.0,11000.0,40000.0,32000.0,22487000.0,60780000.0,143697000.0,39033000.0,725000.0,101000.0,115000.0,1244000.0,2008000.0,328000.0,300000.0,52000.0,4583000.0,441000.0,SUCCESS
7213,2023-12-31,502000.0,61400000.0,14784000.0,0.0,230000.0,57611000.0,59796000.0,31000.0,31000.0,165500000.0,157932000.0,0.0,0.0,317000.0,87000.0,10995000.0,6571000.0,27530000.0,134663000.0,299544000.0,165166000.0,10067000.0,643541000.0,46000.0,462000.0,265000.0,2496000.0,12649000.0,435000.0,0.0,16353000.0,76000.0,8000.0,0.0,28206000.0,79501000.0,63919000.0,37509000.0,2258000.0,0.0,0.0,0.0,6161000.0,1107000.0,296000.0,83000.0,7014000.0,232000.0,SUCCESS
3510,2023-12-31,9977000.0,72039000.0,48697000.0,5315000.0,14858000.0,245991000.0,250016000.0,1908000.0,1908000.0,102200000.0,102200000.0,39398000.0,39398000.0,3394000.0,3152000.0,25202000.0,10093000.0,62785000.0,241759000.0,523181000.0,102200000.0,100602000.0,1040620000.0,64000.0,1278000.0,386000.0,3416000.0,7346000.0,788000.0,0.0,13278000.0,0.0,35000.0,0.0,23512000.0,69546000.0,74286000.0,66665000.0,1195000.0,0.0,126000.0,309000.0,3132000.0,571000.0,44000.0,24000.0,4807000.0,549000.0,SUCCESS
628,2023-12-31,19181000.0,104061000.0,105807000.0,0.0,259000.0,156353000.0,159039000.0,176000.0,179000.0,185793000.0,185792000.0,63649000.0,63649000.0,536000.0,536000.0,20916000.0,9754000.0,129118000.0,326452000.0,548687000.0,211115000.0,63951000.0,1289077000.0,284000.0,2383000.0,844000.0,5683000.0,12449000.0,692000.0,0.0,22335000.0,52000.0,42000.0,0.0,48774000.0,148683000.0,88588000.0,132301000.0,2011000.0,0.0,133000.0,764000.0,4869000.0,753000.0,15000.0,2000.0,7616000.0,942000.0,SUCCESS
32992,2023-12-31,1555000.0,45140000.0,5074000.0,0.0,0.0,6282000.0,6282000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597000.0,292000.0,8256000.0,0.0,59505000.0,0.0,0.0,68053000.0,4000.0,452000.0,0.0,198000.0,0.0,0.0,0.0,654000.0,0.0,44000.0,0.0,0.0,0.0,33311000.0,6223000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0,SUCCESS
33124,2023-12-31,941000.0,72970000.0,7970000.0,0.0,0.0,21053000.0,21057000.0,19000.0,19000.0,19206000.0,19206000.0,11000.0,11000.0,34000.0,10000.0,3052000.0,2441000.0,7783000.0,6567000.0,110807000.0,17425000.0,7757000.0,152780000.0,60000.0,310000.0,38000.0,1171000.0,2446000.0,24000.0,0.0,4049000.0,0.0,0.0,0.0,13599000.0,19676000.0,44180000.0,36253000.0,460000.0,0.0,0.0,1000.0,1097000.0,45000.0,129000.0,52000.0,1502000.0,88000.0,SUCCESS
34221,2023-12-31,3471000.0,4558000.0,26910000.0,0.0,0.0,4691000.0,4691000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317000.0,0.0,6835000.0,60375000.0,64264000.0,0.0,2132000.0,133606000.0,0.0,152000.0,100000.0,32000.0,0.0,4000.0,0.0,288000.0,0.0,0.0,0.0,2000.0,0.0,5814000.0,10622000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,SUCCESS
57565,2023-12-31,1445752.0,6052179.0,2500371.0,0.0,0.0,6391009.0,6391009.0,0.0,0.0,286651.0,286651.0,0.0,0.0,3332.0,3332.0,4727665.0,768.0,2260013.0,29027594.0,16807328.0,286651.0,34794979.0,83177333.0,3.0,25789.0,73313.0,8257.0,1045.0,4721.0,0.0,113128.0,0.0,0.0,0.0,0.0,0.0,5329760.0,762394.0,1255.0,0.0,0.0,0.0,1797.0,920.0,0.0,0.0,2004.0,207.0,SUCCESS
