CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ472,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2014-06-30,331000.0,37609000.0,5398000.0,0.0,11532000.0,146467000.0,147188000.0,2270000.0,2282000.0,20121000.0,20121000.0,52202000.0,52202000.0,4667000.0,4612000.0,7074000.0,6514000.0,8733000.0,7156000.0,31532000.0,47303000.0,237000.0,41000.0,136000.0,801000.0,425000.0,72000.0,301000.0,71000.0,2031000.0,213000.0,,,,,,,,,,,,,SUCCESS
7213,2014-06-30,927000.0,22367000.0,28615000.0,0.0,2177000.0,36886000.0,39306000.0,0.0,2000.0,133432000.0,105047000.0,412000.0,0.0,901000.0,315000.0,4955000.0,13159000.0,3653000.0,58858000.0,34579000.0,57751000.0,1729000.0,0.0,0.0,3000.0,3482000.0,635000.0,490000.0,145000.0,4773000.0,115000.0,,,,,,,,,,,,,SUCCESS
3510,2014-06-30,17200000.0,20653000.0,17293000.0,819000.0,19214000.0,142434000.0,144245000.0,1426000.0,1426000.0,3000.0,3000.0,29064000.0,29064000.0,1163000.0,1163000.0,7812000.0,13335000.0,14665000.0,26805000.0,37662000.0,40055000.0,0.0,13000.0,16000.0,156000.0,0.0,0.0,236000.0,72000.0,1615000.0,118000.0,,,,,,,,,,,,,SUCCESS
628,2014-06-30,2901000.0,12999000.0,32890000.0,0.0,606000.0,88044000.0,90153000.0,250000.0,250000.0,26691000.0,24598000.0,42537000.0,42537000.0,783000.0,550000.0,11004000.0,0.0,5540000.0,35022000.0,25066000.0,166060000.0,196000.0,0.0,101000.0,414000.0,378000.0,44000.0,217000.0,14000.0,1569000.0,160000.0,,,,,,,,,,,,,SUCCESS
32992,2014-06-30,607000.0,6639000.0,5273000.0,,,7941000.0,,0.0,,,0.0,,0.0,,0.0,,28460000.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,862000.0,13391000.0,4835000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,SUCCESS
33124,2014-06-30,575000.0,7197000.0,3092000.0,0.0,0.0,6851000.0,6851000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760000.0,5006000.0,5000.0,5000.0,11529000.0,4754000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,SUCCESS
34221,2014-06-30,27000.0,0.0,576000.0,,,544000.0,,0.0,,,0.0,,0.0,,0.0,,11110000.0,1000.0,9000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,962000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2014-06-30,147280.0,149543.0,1267278.0,,,5381020.0,,3320.0,,,177829.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,785.0,119.0,1412.0,0.0,2621.0,,0.0,0.0,0.0,177190.0,496305.0,0.0,0.0,0.0,985.0,0.0,424.0,100.0,SUCCESS
