CERT,REPDTE,RCON1545,RCONJ454,RCONJ466,RCONJ467,RCONJ468,RCONJ469,RCONJ470,RCONJ471,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ472,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2012-12-31,1232000.0,22788000.0,6231000.0,0.0,0.0,0.0,0.0,0.0,3138000.0,14000.0,11384000.0,142974000.0,143441000.0,2611000.0,18270000.0,18270000.0,44087000.0,44087000.0,6269000.0,6269000.0,14513000.0,7157000.0,13889000.0,10111000.0,16490000.0,40850000.0,270000.0,34000.0,218000.0,840000.0,900000.0,145000.0,656000.0,156000.0,9237000.0,935000.0,,,,,,,,,,,,,SUCCESS
7213,2012-12-31,569000.0,12653000.0,0.0,0.0,0.0,0.0,0.0,0.0,31231000.0,3000.0,2145000.0,29905000.0,31991000.0,3000.0,140146000.0,106685000.0,774000.0,0.0,890000.0,207000.0,1649000.0,15819000.0,4476000.0,24331000.0,37645000.0,53789000.0,2241000.0,0.0,0.0,6000.0,8205000.0,1491000.0,1284000.0,358000.0,15306000.0,568000.0,,,,,,,,,,,,,SUCCESS
3510,2012-12-31,9394890.0,5731044.0,293778.0,1194457.0,0.0,0.0,0.0,0.0,12582764.0,33863.0,17860936.0,144780605.0,146962160.0,1218108.0,2882.0,2882.0,26621065.0,26621065.0,1147179.0,1147179.0,8372823.0,20199977.0,21969891.0,19970065.0,14207437.0,62637554.0,0.0,75663.0,40552.0,263554.0,0.0,0.0,684199.0,216799.0,9607470.0,731606.0,,,,,,,,,,,,,SUCCESS
628,2012-12-31,2465000.0,11147000.0,0.0,0.0,0.0,0.0,0.0,0.0,37805000.0,0.0,912000.0,86486000.0,87684000.0,219000.0,24104000.0,21516000.0,39781000.0,39781000.0,644000.0,303000.0,7034000.0,4000.0,7878000.0,42445000.0,39362000.0,62202000.0,254000.0,0.0,156000.0,511000.0,1000000.0,156000.0,434000.0,35000.0,6135000.0,573000.0,,,,,,,,,,,,,SUCCESS
32992,2012-12-31,288000.0,2566000.0,0.0,0.0,0.0,0.0,0.0,0.0,187000.0,,,5440000.0,,0.0,,0.0,,0.0,,0.0,,19798000.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,8736000.0,1891000.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,SUCCESS
33124,2012-12-31,338000.0,2751000.0,0.0,0.0,0.0,0.0,0.0,0.0,1887000.0,0.0,0.0,3888000.0,3888000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430000.0,5739000.0,6000.0,39000.0,7593000.0,4557000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,SUCCESS
34221,2012-12-31,27081.0,20728.0,0.0,0.0,0.0,0.0,0.0,0.0,130122.0,,,407881.0,,0.0,,0.0,,0.0,,0.0,,7060427.0,2806.0,10489.0,,,,,,,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,0.0,48798.0,476898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2012-12-31,198485.0,166907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4761111.0,,0.0,,165663.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,2115.0,257.0,0.0,35.0,2115.0,,0.0,0.0,0.0,94361.0,955080.0,0.0,0.0,0.0,1172.0,0.0,0.0,2750.0,SUCCESS
