CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ472,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2014-09-30,328000.0,39434000.0,9321000.0,0.0,11265000.0,148132000.0,148905000.0,2463000.0,2463000.0,22305000.0,22305000.0,53368000.0,53368000.0,4741000.0,4686000.0,6944000.0,6764000.0,8260000.0,7086000.0,50394000.0,56294000.0,280000.0,58000.0,129000.0,934000.0,616000.0,100000.0,446000.0,103000.0,2988000.0,340000.0,,,,,,,,,,,,,SUCCESS
7213,2014-09-30,679000.0,25509000.0,27328000.0,0.0,2164000.0,35996000.0,38499000.0,0.0,8000.0,129597000.0,104313000.0,369000.0,0.0,1074000.0,320000.0,4594000.0,12664000.0,3391000.0,52417000.0,37195000.0,56161000.0,1690000.0,0.0,0.0,3000.0,4863000.0,885000.0,690000.0,205000.0,6870000.0,167000.0,,,,,,,,,,,,,SUCCESS
3510,2014-09-30,14529000.0,21474000.0,17657000.0,937000.0,19163000.0,141746000.0,144047000.0,1406000.0,1406000.0,3000.0,3000.0,29708000.0,29708000.0,1252000.0,1252000.0,8336000.0,13600000.0,15123000.0,23722000.0,31854000.0,38963000.0,0.0,15000.0,16000.0,167000.0,0.0,0.0,348000.0,106000.0,2322000.0,219000.0,,,,,,,,,,,,,SUCCESS
628,2014-09-30,3523000.0,14459000.0,38073000.0,0.0,553000.0,87486000.0,89430000.0,260000.0,260000.0,25489000.0,23534000.0,42762000.0,42761000.0,761000.0,579000.0,11716000.0,0.0,5292000.0,24962000.0,24150000.0,163338000.0,198000.0,0.0,105000.0,442000.0,560000.0,66000.0,323000.0,20000.0,2314000.0,228000.0,,,,,,,,,,,,,SUCCESS
32992,2014-09-30,495000.0,6970000.0,6064000.0,,,8084000.0,,0.0,,,0.0,,0.0,,0.0,,29690000.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,954000.0,12510000.0,5181000.0,5000.0,0.0,4000.0,0.0,0.0,0.0,0.0,SUCCESS
33124,2014-09-30,534000.0,9313000.0,4579000.0,0.0,0.0,6706000.0,6706000.0,52000.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,873000.0,5040000.0,4000.0,144000.0,11675000.0,5175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,SUCCESS
34221,2014-09-30,27000.0,0.0,685000.0,,,578000.0,,0.0,,,0.0,,0.0,,0.0,,11921000.0,1000.0,4000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,971000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2014-09-30,138108.0,372423.0,1346128.0,,,5612635.0,,3314.0,,,172843.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,1197.0,180.0,1458.0,0.0,3079.0,,0.0,0.0,0.0,182885.0,422408.0,0.0,0.0,1434.0,1381.0,0.0,424.0,100.0,SUCCESS
