CERT,REPDTE,RCFD1545,RCON1545,RCFDJ454,RCONJ454,RCONJ451,RCFDJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,FFIEC_PATCH_STATUS
3511,2024-12-31,5783000.0,5783000.0,158104000.0,144496000.0,9917000.0,9980000.0,0.0,16317000.0,163469000.0,164408000.0,694000.0,694000.0,56542000.0,56542000.0,42379000.0,42379000.0,3462000.0,3377000.0,21044000.0,20649000.0,108455000.0,239730000.0,400227000.0,56542000.0,51263000.0,876866000.0,483000.0,3036000.0,554000.0,3972000.0,4869000.0,1280000.0,0.0,14194000.0,10000.0,57000.0,17000.0,26800000.0,32016000.0,39575000.0,766000.0,71000.0,89000.0,913000.0,2842000.0,387000.0,389000.0,50000.0,5835000.0,597000.0,SUCCESS
7213,2024-12-31,5939000.0,418000.0,105112000.0,64259000.0,12013000.0,30653000.0,0.0,240000.0,56230000.0,58474000.0,48000.0,87000.0,170749000.0,164242000.0,0.0,0.0,237000.0,67000.0,13501000.0,6641000.0,27077000.0,138184000.0,300412000.0,170749000.0,10080000.0,653143000.0,71000.0,557000.0,179000.0,2104000.0,13569000.0,518000.0,0.0,16998000.0,85000.0,37000.0,0.0,22442000.0,50991000.0,60598000.0,2286000.0,0.0,0.0,0.0,8565000.0,1386000.0,365000.0,71000.0,9690000.0,286000.0,SUCCESS
3510,2024-12-31,79513000.0,78585000.0,157982000.0,122729000.0,26671000.0,26799000.0,6398000.0,15686000.0,227796000.0,231605000.0,1930000.0,1930000.0,103566000.0,103566000.0,40335000.0,40335000.0,2901000.0,2670000.0,30652000.0,9319000.0,56411000.0,242907000.0,567260000.0,103566000.0,104297000.0,1083760000.0,79000.0,1140000.0,291000.0,3432000.0,7515000.0,762000.0,0.0,13219000.0,0.0,35000.0,0.0,32223000.0,70672000.0,74329000.0,1237000.0,0.0,156000.0,297000.0,4364000.0,621000.0,81000.0,20000.0,7053000.0,933000.0,SUCCESS
628,2024-12-31,54615000.0,24378000.0,133323000.0,113806000.0,110663000.0,136833000.0,0.0,174000.0,162940000.0,165415000.0,130000.0,130000.0,203572000.0,203568000.0,58475000.0,58475000.0,492000.0,492000.0,22473000.0,11647000.0,127704000.0,309550000.0,571016000.0,232854000.0,59011000.0,1311782000.0,258000.0,2441000.0,685000.0,5674000.0,14599000.0,660000.0,0.0,24317000.0,32000.0,71000.0,0.0,54703000.0,165309000.0,126561000.0,2041000.0,0.0,164000.0,803000.0,7075000.0,1000000.0,34000.0,13000.0,10415000.0,1639000.0,SUCCESS
32992,2024-12-31,15088000.0,15088000.0,53675000.0,53675000.0,403000.0,403000.0,0.0,0.0,2338000.0,2338000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775000.0,407000.0,7792000.0,0.0,69030000.0,0.0,0.0,77229000.0,6000.0,352000.0,0.0,188000.0,0.0,0.0,0.0,546000.0,0.0,52000.0,0.0,0.0,0.0,7768000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,SUCCESS
33124,2024-12-31,2711000.0,979000.0,91195000.0,90896000.0,9672000.0,9865000.0,0.0,0.0,16757000.0,16801000.0,43000.0,43000.0,21255000.0,21255000.0,5000.0,5000.0,30000.0,9000.0,2909000.0,3067000.0,7054000.0,7553000.0,127827000.0,19615000.0,8000000.0,173116000.0,73000.0,198000.0,30000.0,1033000.0,2567000.0,2000.0,0.0,3903000.0,0.0,0.0,0.0,19552000.0,23622000.0,46305000.0,442000.0,0.0,0.0,0.0,1462000.0,104000.0,0.0,0.0,1790000.0,203000.0,SUCCESS
34221,2024-12-31,64862000.0,64862000.0,5223000.0,5223000.0,2384000.0,2384000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408000.0,0.0,7055000.0,66738000.0,72469000.0,0.0,516000.0,146778000.0,0.0,155000.0,97000.0,63000.0,0.0,12000.0,0.0,327000.0,0.0,0.0,0.0,111000.0,46000.0,12816000.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,0.0,27000.0,0.0,SUCCESS
57565,2024-12-31,44931865.0,44931865.0,5909413.0,5909413.0,24290.0,24290.0,0.0,0.0,485222.0,485222.0,0.0,0.0,311021.0,311021.0,0.0,0.0,0.0,0.0,10846469.0,3804.0,2202102.0,30035006.0,51351211.0,311021.0,859031.0,84762175.0,9.0,35973.0,72177.0,7536.0,1035.0,1703.0,0.0,118433.0,0.0,0.0,0.0,0.0,0.0,811352.0,983.0,0.0,0.0,0.0,1753.0,639.0,0.0,0.0,4602.0,2849.0,SUCCESS
