CERT,REPDTE,RCON1545,RCONJ454,RCONJ466,RCONJ467,RCONJ468,RCONJ469,RCONJ470,RCONJ471,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2021-12-31,2945000.0,128327000.0,175000.0,0.0,0.0,0.0,0.0,0.0,6383000.0,0.0,14706000.0,148240000.0,149174000.0,1357000.0,1357000.0,38453000.0,38453000.0,56660000.0,56660000.0,3396000.0,3348000.0,20169000.0,20109000.0,120190000.0,240523000.0,366358000.0,38453000.0,65141000.0,850774000.0,323000.0,2050000.0,1100000.0,4134000.0,3290000.0,1421000.0,0.0,12318000.0,15000.0,15000.0,59000.0,3697000.0,13772000.0,117961000.0,56903000.0,306000.0,88000.0,198000.0,953000.0,1189000.0,389000.0,244000.0,93000.0,2997000.0,406000.0,,,,,,,,,,,,,SUCCESS
7213,2021-12-31,648000.0,64698000.0,0.0,0.0,0.0,0.0,0.0,0.0,28911000.0,0.0,383000.0,46488000.0,48269000.0,62000.0,64000.0,144413000.0,127574000.0,2000.0,0.0,426000.0,46000.0,9489000.0,7051000.0,18473000.0,131516000.0,315358000.0,141153000.0,19249000.0,632800000.0,14000.0,154000.0,675000.0,2255000.0,11124000.0,674000.0,0.0,14896000.0,66000.0,4000.0,0.0,5322000.0,12377000.0,48609000.0,65612000.0,1018000.0,0.0,0.0,0.0,4444000.0,1258000.0,417000.0,144000.0,5627000.0,300000.0,,,,,,,,,,,,,SUCCESS
3510,2021-12-31,9991000.0,61043000.0,892000.0,688000.0,0.0,0.0,0.0,0.0,42472000.0,5871000.0,14808000.0,222606000.0,225945000.0,2049000.0,2049000.0,81524000.0,81524000.0,34940000.0,34940000.0,2866000.0,2595000.0,27562000.0,7742000.0,55266000.0,237172000.0,474706000.0,81438000.0,100475000.0,956799000.0,106000.0,1186000.0,560000.0,4041000.0,5907000.0,568000.0,0.0,12368000.0,0.0,36000.0,0.0,4522000.0,16932000.0,54677000.0,62024000.0,511000.0,8000.0,57000.0,118000.0,2411000.0,688000.0,80000.0,56000.0,3790000.0,598000.0,,,,,,,,,,,,,SUCCESS
628,2021-12-31,14121000.0,93998000.0,0.0,0.0,0.0,0.0,0.0,0.0,87940000.0,0.0,108000.0,132004000.0,134398000.0,63000.0,67000.0,137952000.0,137952000.0,60605000.0,60605000.0,846000.0,833000.0,19369000.0,5371000.0,93748000.0,224742000.0,495418000.0,137951000.0,60720000.0,1017950000.0,182000.0,1044000.0,818000.0,4316000.0,9332000.0,686000.0,0.0,16378000.0,32000.0,6000.0,0.0,4101000.0,52592000.0,50647000.0,175621000.0,738000.0,0.0,88000.0,378000.0,3242000.0,890000.0,5000.0,2000.0,4564000.0,666000.0,,,,,,,,,,,,,SUCCESS
32992,2021-12-31,1788000.0,37024000.0,0.0,0.0,0.0,0.0,0.0,0.0,7168000.0,0.0,0.0,4527000.0,4527000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251000.0,351000.0,7230000.0,0.0,52908000.0,0.0,0.0,60489000.0,3000.0,205000.0,0.0,192000.0,0.0,0.0,0.0,400000.0,0.0,33000.0,0.0,0.0,0.0,24068000.0,6430000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108000.0,2000.0,,,,,,,,,,,,,SUCCESS
33124,2021-12-31,1583000.0,50857000.0,0.0,0.0,0.0,0.0,0.0,0.0,8508000.0,0.0,0.0,16189000.0,16286000.0,38000.0,38000.0,8212000.0,8212000.0,41000.0,41000.0,0.0,0.0,2861000.0,3591000.0,6988000.0,2757000.0,83746000.0,8212000.0,10494000.0,115788000.0,46000.0,89000.0,36000.0,830000.0,948000.0,532000.0,0.0,2481000.0,0.0,0.0,0.0,7546000.0,29979000.0,32868000.0,6656000.0,86000.0,0.0,0.0,0.0,140000.0,5000.0,130000.0,62000.0,387000.0,50000.0,,,,,,,,,,,,,SUCCESS
34221,2021-12-31,3352000.0,5886000.0,0.0,0.0,0.0,0.0,0.0,0.0,23151000.0,0.0,0.0,4709000.0,4709000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535000.0,0.0,5150000.0,44251000.0,59388000.0,0.0,1069000.0,109858000.0,0.0,31000.0,59000.0,5000.0,0.0,2000.0,0.0,97000.0,0.0,0.0,0.0,0.0,0.0,3464000.0,8004000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,,,,,,,,,SUCCESS
57565,2021-12-31,1710511.0,49816.0,0.0,0.0,0.0,0.0,0.0,0.0,3378505.0,,,9013263.0,,0.0,,,256342.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,1443.0,841.0,0.0,0.0,2668.0,,0.0,0.0,5511220.0,222176.0,2482254.0,30.0,235.0,0.0,657.0,0.0,646.0,124.0,SUCCESS
