CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ472,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2015-03-31,447000.0,49725000.0,9566000.0,0.0,11615000.0,150531000.0,151474000.0,2518000.0,2518000.0,23993000.0,23993000.0,54507000.0,54507000.0,4775000.0,4728000.0,5703000.0,7205000.0,7421000.0,24249000.0,63210000.0,65748000.0,265000.0,43000.0,120000.0,847000.0,228000.0,31000.0,153000.0,36000.0,960000.0,104000.0,,,,,,,,,,,,,SUCCESS
7213,2015-03-31,935000.0,26419000.0,27136000.0,0.0,2068000.0,39340000.0,42416000.0,0.0,3000.0,124934000.0,101348000.0,282000.0,0.0,1034000.0,365000.0,4627000.0,16093000.0,2947000.0,51735000.0,40277000.0,51718000.0,1486000.0,0.0,0.0,3000.0,1389000.0,311000.0,176000.0,53000.0,2074000.0,59000.0,,,,,,,,,,,,,SUCCESS
3510,2015-03-31,11961000.0,25941000.0,21056000.0,1073000.0,19119000.0,156125000.0,158925000.0,1372000.0,1372000.0,96948000.0,87288000.0,30931000.0,30931000.0,1259000.0,1259000.0,9419000.0,7106000.0,13152000.0,21189000.0,31293000.0,59990000.0,866000.0,14000.0,15000.0,141000.0,799000.0,134000.0,124000.0,51000.0,1615000.0,103000.0,,,,,,,,,,,,,SUCCESS
628,2015-03-31,4606000.0,17857000.0,44064000.0,0.0,474000.0,93411000.0,95345000.0,255000.0,255000.0,24698000.0,23125000.0,44045000.0,44043000.0,630000.0,485000.0,13357000.0,0.0,4683000.0,40904000.0,25092000.0,148460000.0,162000.0,0.0,93000.0,411000.0,159000.0,16000.0,61000.0,8000.0,642000.0,73000.0,,,,,,,,,,,,,SUCCESS
32992,2015-03-31,416000.0,9326000.0,7321000.0,,,8986000.0,,0.0,,,0.0,,0.0,,0.0,,31615000.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,6000.0,,0.0,0.0,1719000.0,11515000.0,7496000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,SUCCESS
33124,2015-03-31,706000.0,11477000.0,4316000.0,0.0,0.0,8349000.0,8349000.0,51000.0,51000.0,0.0,0.0,0.0,0.0,5000.0,5000.0,1136000.0,4932000.0,8000.0,4023000.0,15720000.0,4771000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,SUCCESS
34221,2015-03-31,93000.0,0.0,773000.0,,,544000.0,,0.0,,,0.0,,0.0,,0.0,,13646000.0,1000.0,3000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,998000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2015-03-31,152259.0,1149414.0,1680950.0,,,6019243.0,,5128.0,,,168687.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,615.0,55.0,203.0,46.0,818.0,,0.0,0.0,0.0,197107.0,679177.0,0.0,0.0,0.0,1311.0,0.0,0.0,100.0,SUCCESS
