CERT,REPDTE,RCON1545,RCONJ454,RCONJ451,RCFDF162,RCFDF163,RCON1763,RCFD1763,RCON1420,RCFD1420,RCFDB538,RCONB538,RCFDK137,RCONK137,RCFD1590,RCON1590,RCFD2746,RCONJ472,RCONJ473,RCONJ474,RCFDJ458,RCFDJ459,RCFDB575,RCFDK214,RCFDK215,RCFDK213,RIADB514,RIADB515,RIADK205,RIADK206,RIAD4635,RIAD4645,RCONF162,RCONF163,RCON2746,RCONJ458,RCONJ459,RCON1606,RCON1607,RCON1608,RCONB575,RCONK213,RIAD4638,RIAD4608,FFIEC_PATCH_STATUS
3511,2015-06-30,424000.0,54861000.0,9326000.0,0.0,11658000.0,155291000.0,156398000.0,2613000.0,2613000.0,24800000.0,24800000.0,55986000.0,55986000.0,4621000.0,4572000.0,5691000.0,6801000.0,6865000.0,31765000.0,64449000.0,65179000.0,288000.0,47000.0,115000.0,925000.0,464000.0,65000.0,305000.0,69000.0,1880000.0,229000.0,,,,,,,,,,,,,SUCCESS
7213,2015-06-30,843000.0,27690000.0,29818000.0,0.0,1961000.0,40438000.0,42867000.0,0.0,2000.0,126594000.0,102902000.0,261000.0,0.0,1660000.0,395000.0,5069000.0,15157000.0,2652000.0,41398000.0,45886000.0,54772000.0,1434000.0,0.0,0.0,2000.0,2758000.0,565000.0,357000.0,111000.0,3949000.0,185000.0,,,,,,,,,,,,,SUCCESS
3510,2015-06-30,13055000.0,26301000.0,22166000.0,1152000.0,19947000.0,163102000.0,166447000.0,1544000.0,1544000.0,98679000.0,88403000.0,31563000.0,31563000.0,1253000.0,1253000.0,9034000.0,7004000.0,12706000.0,22880000.0,31872000.0,66777000.0,822000.0,11000.0,15000.0,166000.0,1563000.0,263000.0,206000.0,88000.0,3115000.0,211000.0,,,,,,,,,,,,,SUCCESS
628,2015-06-30,5085000.0,18232000.0,44258000.0,0.0,427000.0,99680000.0,102572000.0,253000.0,253000.0,25727000.0,24290000.0,44800000.0,44798000.0,463000.0,323000.0,14723000.0,0.0,4372000.0,42670000.0,23019000.0,145695000.0,175000.0,0.0,95000.0,473000.0,327000.0,36000.0,116000.0,14000.0,1219000.0,137000.0,,,,,,,,,,,,,SUCCESS
32992,2015-06-30,443000.0,10606000.0,8323000.0,,,9627000.0,,0.0,,,0.0,,0.0,,0.0,,31566000.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,9000.0,,0.0,0.0,1871000.0,11987000.0,8742000.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,SUCCESS
33124,2015-06-30,756000.0,13284000.0,4822000.0,0.0,0.0,9271000.0,9271000.0,50000.0,50000.0,0.0,0.0,0.0,0.0,5000.0,5000.0,1392000.0,4961000.0,13000.0,3633000.0,13510000.0,4409000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,,,,,,,,,,,,SUCCESS
34221,2015-06-30,83000.0,0.0,761000.0,,,413000.0,,0.0,,,0.0,,0.0,,0.0,,14137000.0,1000.0,15000.0,,,,,,,0.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,1060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2015-06-30,153263.0,2390641.0,1763823.0,,,6130149.0,,4699.0,,,189868.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,937.0,121.0,203.0,249.0,1140.0,,0.0,0.0,0.0,284747.0,640699.0,0.0,0.0,0.0,1158.0,0.0,0.0,100.0,SUCCESS
