CERT,REPDTE,RCON1545,RCONJ454,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2024-03-31,5304978.0,1784543.0,3589000.0,12154058.0,22654475.0,24445324.0,73461.0,427046.0,63343364.0,185677.0,174804.0,88003.0,298020.0,1135.0,5788.0,0.0,753427.0,98.0,0.0,0.0,5677294.0,2166077.0,SUCCESS
3511,2024-03-31,3480000.0,133819000.0,23615000.0,117521000.0,245992000.0,391771000.0,52035000.0,55248000.0,886182000.0,463000.0,3235000.0,603000.0,4177000.0,4321000.0,1627000.0,0.0,14426000.0,11000.0,46000.0,28000.0,24026000.0,57504000.0,SUCCESS
7213,2024-03-31,295000.0,57015000.0,6336000.0,27507000.0,135512000.0,288438000.0,158941000.0,10618000.0,627352000.0,58000.0,432000.0,256000.0,2415000.0,12956000.0,412000.0,0.0,16529000.0,89000.0,8000.0,0.0,26732000.0,73499000.0,SUCCESS
3510,2024-03-31,8908000.0,70128000.0,10339000.0,61313000.0,240691000.0,525257000.0,98453000.0,100084000.0,1036137000.0,75000.0,1217000.0,353000.0,3399000.0,7296000.0,825000.0,0.0,13165000.0,0.0,36000.0,0.0,26417000.0,80437000.0,SUCCESS
628,2024-03-31,19138000.0,102044000.0,10514000.0,128871000.0,320030000.0,545478000.0,206732000.0,62390000.0,1274015000.0,251000.0,2386000.0,683000.0,5656000.0,12600000.0,690000.0,0.0,22266000.0,38000.0,82000.0,0.0,56097000.0,148857000.0,SUCCESS
32992,2024-03-31,1403000.0,44112000.0,317000.0,8325000.0,0.0,58660000.0,0.0,0.0,67302000.0,3000.0,451000.0,0.0,175000.0,0.0,0.0,0.0,629000.0,0.0,41000.0,0.0,0.0,0.0,SUCCESS
33124,2024-03-31,928000.0,77320000.0,2645000.0,7714000.0,6710000.0,114488000.0,16931000.0,7648000.0,156136000.0,72000.0,321000.0,36000.0,1216000.0,2320000.0,4000.0,0.0,3969000.0,0.0,0.0,0.0,16537000.0,22894000.0,SUCCESS
34221,2024-03-31,3416000.0,4580000.0,0.0,7000000.0,61339000.0,64408000.0,0.0,2014000.0,134761000.0,0.0,156000.0,89000.0,33000.0,0.0,4000.0,0.0,282000.0,0.0,0.0,0.0,1000.0,0.0,SUCCESS
57450,2024-03-31,0.0,314000.0,0.0,0.0,26655000.0,4051000.0,0.0,9472000.0,40178000.0,0.0,0.0,28000.0,4000.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2024-03-31,1442671.0,5612404.0,2592.0,2301273.0,29092981.0,16156220.0,251505.0,34015467.0,81820038.0,6.0,28501.0,71192.0,9356.0,1029.0,2286.0,0.0,112370.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
