CERT,REPDTE,RCON1545,RCONJ454,RCONJ473,RCONJ474,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,FFIEC_PATCH_STATUS
17281,2021-06-30,4109623.0,3330246.0,130999.0,686024.0,,,,,,,,,,,,,,,,,,,SUCCESS
3511,2021-06-30,2473000.0,115762000.0,4180000.0,13894000.0,22405000.0,113071000.0,244917000.0,336474000.0,34936000.0,62541000.0,814344000.0,433000.0,2835000.0,1360000.0,5092000.0,3663000.0,1555000.0,0.0,14938000.0,15000.0,15000.0,47000.0,SUCCESS
7213,2021-06-30,928000.0,64651000.0,5909000.0,11301000.0,6850000.0,19425000.0,138288000.0,319613000.0,135179000.0,20961000.0,640316000.0,25000.0,160000.0,882000.0,2441000.0,13140000.0,617000.0,0.0,17265000.0,55000.0,4000.0,0.0,SUCCESS
3510,2021-06-30,17959000.0,48066000.0,5056000.0,18473000.0,8150000.0,51456000.0,234226000.0,439562000.0,75599000.0,93959000.0,902952000.0,174000.0,1782000.0,598000.0,4696000.0,6234000.0,600000.0,0.0,14084000.0,0.0,33000.0,0.0,SUCCESS
628,2021-06-30,12778000.0,76078000.0,4543000.0,52711000.0,5804000.0,92499000.0,217977000.0,472662000.0,125403000.0,58464000.0,972809000.0,245000.0,1127000.0,807000.0,5259000.0,11286000.0,768000.0,0.0,19492000.0,72000.0,12000.0,0.0,SUCCESS
32992,2021-06-30,2096000.0,33423000.0,0.0,0.0,289000.0,6800000.0,0.0,39010000.0,0.0,8995000.0,55094000.0,3000.0,191000.0,0.0,221000.0,0.0,0.0,0.0,415000.0,0.0,27000.0,0.0,SUCCESS
33124,2021-06-30,1769000.0,43086000.0,8538000.0,18678000.0,3662000.0,4718000.0,1355000.0,67009000.0,5210000.0,8830000.0,90784000.0,32000.0,77000.0,17000.0,850000.0,609000.0,534000.0,0.0,2119000.0,0.0,0.0,0.0,SUCCESS
34221,2021-06-30,3073000.0,5089000.0,0.0,6000.0,0.0,5006000.0,38917000.0,28629000.0,0.0,23432000.0,95984000.0,0.0,32000.0,55000.0,5000.0,0.0,2000.0,0.0,94000.0,0.0,0.0,0.0,SUCCESS
57565,2021-06-30,1412150.0,58169.0,0.0,0.0,,,,,,,,,,,,,,,,,,,SUCCESS
