CERT,REPDTE,RCON1545,RCONJ454,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2018-09-30,2826254.0,1672044.0,103887.0,372480.0,SUCCESS
3511,2018-09-30,1185000.0,90645000.0,4626000.0,53537000.0,SUCCESS
7213,2018-09-30,1483000.0,37449000.0,4698000.0,46408000.0,SUCCESS
3510,2018-09-30,18116000.0,32548000.0,9359000.0,19748000.0,SUCCESS
628,2018-09-30,8406000.0,30561000.0,2639000.0,51812000.0,SUCCESS
32992,2018-09-30,1919000.0,21027000.0,0.0,0.0,SUCCESS
33124,2018-09-30,815000.0,25935000.0,2910000.0,7852000.0,SUCCESS
34221,2018-09-30,257000.0,4055000.0,0.0,12000.0,SUCCESS
57565,2018-09-30,34021.0,64013.0,0.0,0.0,SUCCESS
