CERT,REPDTE,RCFD1545,RCON1545,RCFDJ454,RCONJ454,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2025-09-30,1226529.0,1226529.0,7682768.0,7682768.0,3390730.0,12673495.0,24054802.0,25994368.0,71235.0,211071.0,66395701.0,109022.0,166164.0,95426.0,307920.0,1018.0,5686.0,0.0,685236.0,186.0,0.0,0.0,436205.0,2497000.0,SUCCESS
3511,2025-09-30,22256000.0,22256000.0,185766000.0,164785000.0,17339000.0,105611000.0,234318000.0,440300000.0,56996000.0,52704000.0,907268000.0,479000.0,2436000.0,583000.0,4067000.0,4907000.0,1282000.0,0.0,13754000.0,12000.0,62000.0,8000.0,31869000.0,34183000.0,SUCCESS
7213,2025-09-30,43321000.0,16876000.0,111672000.0,71894000.0,7407000.0,27252000.0,141044000.0,339556000.0,166350000.0,7124000.0,688733000.0,85000.0,586000.0,181000.0,2425000.0,13435000.0,530000.0,0.0,17242000.0,83000.0,33000.0,0.0,26440000.0,61295000.0,SUCCESS
3510,2025-09-30,91415000.0,89941000.0,190584000.0,151343000.0,9459000.0,57527000.0,251556000.0,618690000.0,102109000.0,108319000.0,1147660000.0,76000.0,969000.0,404000.0,3743000.0,7272000.0,772000.0,0.0,13236000.0,0.0,35000.0,0.0,35903000.0,69544000.0,SUCCESS
628,2025-09-30,145991000.0,83686000.0,226018000.0,187643000.0,11893000.0,130111000.0,303876000.0,654149000.0,235471000.0,58203000.0,1393703000.0,225000.0,2109000.0,891000.0,6328000.0,15553000.0,557000.0,0.0,25663000.0,29000.0,41000.0,0.0,50261000.0,154543000.0,SUCCESS
32992,2025-09-30,15498000.0,15498000.0,68423000.0,68423000.0,345000.0,7909000.0,0.0,84033000.0,0.0,0.0,92287000.0,8000.0,359000.0,0.0,247000.0,0.0,0.0,0.0,614000.0,0.0,58000.0,0.0,0.0,860000.0,SUCCESS
33124,2025-09-30,20591000.0,16267000.0,107571000.0,107264000.0,3142000.0,8981000.0,8457000.0,157201000.0,20017000.0,948000.0,198746000.0,55000.0,278000.0,35000.0,956000.0,2478000.0,1000.0,0.0,3803000.0,0.0,0.0,0.0,26432000.0,29127000.0,SUCCESS
34221,2025-09-30,75189000.0,75189000.0,5607000.0,5607000.0,0.0,7355000.0,70910000.0,82415000.0,0.0,552000.0,161232000.0,0.0,177000.0,122000.0,80000.0,0.0,4000.0,0.0,383000.0,0.0,0.0,0.0,705000.0,343000.0,SUCCESS
57450,2025-09-30,20345000.0,20345000.0,414000.0,414000.0,0.0,0.0,29782000.0,21143000.0,0.0,26000.0,50951000.0,0.0,0.0,16000.0,6000.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2025-09-30,46259933.0,46259933.0,5797314.0,5797314.0,2852.0,2287594.0,31431799.0,52716458.0,291896.0,860694.0,87591293.0,2.0,44801.0,52568.0,7335.0,998.0,1449.0,0.0,107153.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
