CERT,REPDTE,RCON1545,RCONJ454,RCONJ466,RCONJ467,RCONJ468,RCONJ469,RCONJ470,RCONJ471,RCONJ473,RCONJ474,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,FFIEC_PATCH_STATUS
17281,2022-12-31,6651396.0,1843874.0,0.0,0.0,0.0,0.0,0.0,0.0,3542590.0,1602010.0,,,,,,,,,,,,,,,,,,,SUCCESS
3511,2022-12-31,3516000.0,139390000.0,151000.0,0.0,0.0,0.0,0.0,0.0,5731000.0,15451000.0,23578000.0,124488000.0,250842000.0,405546000.0,46293000.0,62754000.0,913501000.0,501000.0,1646000.0,963000.0,4165000.0,3567000.0,1990000.0,0.0,12832000.0,16000.0,13000.0,45000.0,SUCCESS
7213,2022-12-31,608000.0,53309000.0,0.0,0.0,0.0,0.0,0.0,0.0,15375000.0,70344000.0,6843000.0,26360000.0,125297000.0,299016000.0,151773000.0,11337000.0,620626000.0,45000.0,235000.0,509000.0,2803000.0,11506000.0,376000.0,0.0,15474000.0,107000.0,1000.0,0.0,SUCCESS
3510,2022-12-31,7491000.0,63200000.0,615000.0,692000.0,0.0,0.0,0.0,0.0,8130000.0,17858000.0,9421000.0,60344000.0,242684000.0,521048000.0,93421000.0,103217000.0,1030135000.0,82000.0,1110000.0,421000.0,4221000.0,6136000.0,681000.0,0.0,12651000.0,0.0,30000.0,0.0,SUCCESS
628,2022-12-31,14475000.0,89932000.0,0.0,0.0,0.0,0.0,0.0,0.0,6706000.0,75989000.0,6202000.0,100686000.0,237548000.0,531549000.0,164729000.0,57570000.0,1098284000.0,69000.0,1431000.0,1085000.0,6247000.0,10202000.0,680000.0,0.0,19714000.0,51000.0,16000.0,0.0,SUCCESS
32992,2022-12-31,1472000.0,42511000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322000.0,8035000.0,0.0,58995000.0,0.0,0.0,67352000.0,4000.0,264000.0,0.0,200000.0,0.0,0.0,0.0,468000.0,0.0,34000.0,0.0,SUCCESS
33124,2022-12-31,1194000.0,60367000.0,0.0,0.0,0.0,0.0,0.0,0.0,8025000.0,20080000.0,2988000.0,7741000.0,5244000.0,100215000.0,15703000.0,14445000.0,146336000.0,65000.0,102000.0,42000.0,1053000.0,2142000.0,848000.0,0.0,4252000.0,0.0,0.0,0.0,SUCCESS
34221,2022-12-31,3338000.0,5334000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,6414000.0,54461000.0,65736000.0,0.0,3249000.0,129860000.0,0.0,53000.0,87000.0,13000.0,0.0,3000.0,0.0,156000.0,0.0,0.0,0.0,SUCCESS
57565,2022-12-31,1764354.0,4806626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,SUCCESS
