CERT,REPDTE,RCFD1545,RCON1545,RCFDJ454,RCONJ454,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2025-06-30,1227643.0,1227643.0,7328226.0,7328226.0,3473422.0,12188234.0,23583340.0,25492975.0,72700.0,222636.0,65033307.0,107519.0,176396.0,112658.0,327215.0,961.0,3650.0,0.0,728399.0,200.0,0.0,0.0,442391.0,2391121.0,SUCCESS
3511,2025-06-30,17254000.0,17254000.0,174152000.0,155191000.0,19167000.0,106108000.0,235866000.0,423287000.0,55318000.0,49549000.0,889295000.0,495000.0,2768000.0,579000.0,3961000.0,4910000.0,1255000.0,0.0,13968000.0,12000.0,68000.0,12000.0,29531000.0,29728000.0,SUCCESS
7213,2025-06-30,40854000.0,15687000.0,104337000.0,65158000.0,7148000.0,27281000.0,139758000.0,332052000.0,166235000.0,6958000.0,679432000.0,83000.0,634000.0,214000.0,2385000.0,13390000.0,499000.0,0.0,17205000.0,83000.0,30000.0,0.0,25126000.0,60897000.0,SUCCESS
3510,2025-06-30,86133000.0,85301000.0,179585000.0,143604000.0,9211000.0,56465000.0,250801000.0,606149000.0,101209000.0,106795000.0,1130630000.0,81000.0,1001000.0,343000.0,3621000.0,7456000.0,776000.0,0.0,13278000.0,0.0,34000.0,0.0,34225000.0,72680000.0,SUCCESS
628,2025-06-30,127185000.0,76934000.0,205836000.0,168841000.0,12066000.0,129253000.0,305103000.0,623315000.0,232938000.0,58910000.0,1361585000.0,224000.0,2213000.0,777000.0,6079000.0,15000000.0,616000.0,0.0,24909000.0,29000.0,44000.0,0.0,53765000.0,165847000.0,SUCCESS
32992,2025-06-30,15441000.0,15441000.0,64030000.0,64030000.0,386000.0,7787000.0,0.0,79161000.0,0.0,0.0,87334000.0,7000.0,375000.0,0.0,247000.0,0.0,0.0,0.0,629000.0,0.0,60000.0,0.0,0.0,51000.0,SUCCESS
33124,2025-06-30,19011000.0,15109000.0,104121000.0,103846000.0,3121000.0,8713000.0,8174000.0,150371000.0,19275000.0,1068000.0,190722000.0,61000.0,237000.0,33000.0,972000.0,2467000.0,1000.0,0.0,3771000.0,0.0,0.0,0.0,24124000.0,27442000.0,SUCCESS
34221,2025-06-30,71608000.0,71608000.0,5298000.0,5298000.0,0.0,7330000.0,69254000.0,79168000.0,0.0,473000.0,156225000.0,0.0,167000.0,120000.0,100000.0,0.0,10000.0,0.0,397000.0,0.0,0.0,0.0,266000.0,100000.0,SUCCESS
57450,2025-06-30,18576000.0,18576000.0,419000.0,419000.0,0.0,0.0,28965000.0,19393000.0,0.0,23000.0,48381000.0,0.0,0.0,16000.0,6000.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2025-06-30,46567931.0,46567931.0,5579092.0,5579092.0,2852.0,2128241.0,30918152.0,52779225.0,293533.0,886050.0,87008053.0,11.0,35356.0,45134.0,7689.0,906.0,1549.0,0.0,90645.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
