CERT,REPDTE,RCON1545,RCONJ454,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2024-06-30,5555565.0,1962817.0,3559657.0,12128593.0,22467782.0,24963850.0,75060.0,383646.0,63578588.0,132767.0,164305.0,85387.0,342699.0,1042.0,8574.0,0.0,734774.0,86.0,0.0,0.0,5693806.0,2293677.0,SUCCESS
3511,2024-06-30,4127000.0,138192000.0,22810000.0,114790000.0,243766000.0,394162000.0,53756000.0,53260000.0,882544000.0,477000.0,3189000.0,530000.0,4140000.0,4517000.0,1514000.0,0.0,14367000.0,11000.0,50000.0,26000.0,25988000.0,47563000.0,SUCCESS
7213,2024-06-30,236000.0,59261000.0,6617000.0,26801000.0,137456000.0,299091000.0,163083000.0,10351000.0,643399000.0,60000.0,411000.0,243000.0,2133000.0,13308000.0,435000.0,0.0,16590000.0,81000.0,9000.0,0.0,26839000.0,61400000.0,SUCCESS
3510,2024-06-30,10385000.0,73863000.0,9955000.0,60329000.0,241689000.0,531995000.0,99450000.0,100998000.0,1044416000.0,88000.0,1191000.0,344000.0,3419000.0,7341000.0,826000.0,0.0,13209000.0,0.0,36000.0,0.0,27902000.0,82374000.0,SUCCESS
628,2024-06-30,19750000.0,109357000.0,11182000.0,129267000.0,314889000.0,554716000.0,216093000.0,60481000.0,1286628000.0,294000.0,2377000.0,679000.0,5689000.0,13199000.0,690000.0,0.0,22928000.0,37000.0,88000.0,0.0,57052000.0,157212000.0,SUCCESS
32992,2024-06-30,1146000.0,51142000.0,327000.0,8201000.0,0.0,64047000.0,0.0,0.0,72575000.0,3000.0,461000.0,0.0,186000.0,0.0,0.0,0.0,650000.0,0.0,47000.0,0.0,0.0,0.0,SUCCESS
33124,2024-06-30,845000.0,79040000.0,2572000.0,8103000.0,6956000.0,116443000.0,17473000.0,7724000.0,159271000.0,83000.0,348000.0,28000.0,1109000.0,2337000.0,2000.0,0.0,3907000.0,0.0,0.0,0.0,17506000.0,22774000.0,SUCCESS
34221,2024-06-30,3515000.0,5119000.0,0.0,7172000.0,63161000.0,65970000.0,0.0,2015000.0,138318000.0,0.0,158000.0,95000.0,46000.0,0.0,2000.0,0.0,301000.0,0.0,0.0,0.0,1000.0,0.0,SUCCESS
57450,2024-06-30,0.0,353000.0,0.0,0.0,26879000.0,4508000.0,0.0,10155000.0,41542000.0,0.0,0.0,14000.0,5000.0,0.0,0.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2024-06-30,1432867.0,6289747.0,2938.0,2211331.0,29460646.0,16864961.0,285125.0,34409293.0,83234294.0,7.0,36166.0,80672.0,7217.0,1027.0,4270.0,0.0,129359.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
