CERT,REPDTE,RCON1545,RCONJ454,RCONJ473,RCONJ474,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,FFIEC_PATCH_STATUS
17281,2020-03-31,4000454.0,2409750.0,707720.0,842786.0,,,,,,,,,,,,,,,,,,,SUCCESS
3511,2020-03-31,1854000.0,119081000.0,7906000.0,39683000.0,20814000.0,115661000.0,297336000.0,423472000.0,38582000.0,72008000.0,967873000.0,27000.0,840000.0,709000.0,3538000.0,3481000.0,2298000.0,0.0,10893000.0,9000.0,2000.0,0.0,SUCCESS
7213,2020-03-31,948000.0,56376000.0,10288000.0,29713000.0,6235000.0,16511000.0,131399000.0,354828000.0,147943000.0,26799000.0,683715000.0,22000.0,181000.0,967000.0,2910000.0,13579000.0,670000.0,0.0,18329000.0,37000.0,0.0,0.0,SUCCESS
3510,2020-03-31,13372000.0,41428000.0,12791000.0,27207000.0,7765000.0,58889000.0,272820000.0,510113000.0,91890000.0,87330000.0,1028807000.0,122000.0,1317000.0,787000.0,5258000.0,7583000.0,674000.0,0.0,15741000.0,0.0,16000.0,0.0,SUCCESS
628,2020-03-31,10377000.0,57835000.0,13209000.0,54328000.0,6316000.0,95772000.0,241738000.0,478855000.0,137506000.0,46652000.0,1006839000.0,71000.0,1014000.0,2328000.0,5606000.0,13557000.0,659000.0,0.0,23235000.0,18000.0,1000.0,0.0,SUCCESS
32992,2020-03-31,1646000.0,34089000.0,0.0,0.0,180000.0,7080000.0,0.0,43410000.0,0.0,8018000.0,58688000.0,2000.0,140000.0,0.0,192000.0,0.0,0.0,0.0,334000.0,0.0,25000.0,0.0,SUCCESS
33124,2020-03-31,1017000.0,35489000.0,7987000.0,18847000.0,2707000.0,3586000.0,345000.0,72672000.0,2081000.0,7582000.0,88973000.0,10000.0,34000.0,1000.0,896000.0,240000.0,710000.0,0.0,1891000.0,0.0,0.0,0.0,SUCCESS
34221,2020-03-31,761000.0,4801000.0,0.0,12000.0,0.0,4795000.0,31100000.0,19692000.0,0.0,11552000.0,67139000.0,0.0,28000.0,47000.0,11000.0,0.0,1000.0,0.0,87000.0,0.0,0.0,0.0,SUCCESS
57565,2020-03-31,295928.0,57484.0,0.0,0.0,,,,,,,,,,,,,,,,,,,SUCCESS
