CERT,REPDTE,RCON1545,RCONJ454,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2024-09-30,5384315.0,1896657.0,3411353.0,12048208.0,22533476.0,24262446.0,75245.0,360203.0,62690931.0,155732.0,180148.0,85781.0,299664.0,946.0,5236.0,0.0,727507.0,79.0,0.0,0.0,5733193.0,2615776.0,SUCCESS
3511,2024-09-30,4349000.0,137151000.0,22693000.0,111051000.0,241764000.0,393497000.0,55046000.0,51168000.0,875219000.0,510000.0,3075000.0,552000.0,4097000.0,4703000.0,1401000.0,0.0,14338000.0,10000.0,46000.0,23000.0,26608000.0,38008000.0,SUCCESS
7213,2024-09-30,171000.0,60015000.0,6697000.0,27208000.0,139815000.0,298680000.0,163490000.0,10961000.0,646851000.0,65000.0,560000.0,229000.0,2115000.0,13347000.0,468000.0,0.0,16784000.0,89000.0,39000.0,0.0,24840000.0,60593000.0,SUCCESS
3510,2024-09-30,9252000.0,80976000.0,9594000.0,58826000.0,241999000.0,549169000.0,100841000.0,102835000.0,1063264000.0,82000.0,1205000.0,306000.0,3351000.0,7492000.0,792000.0,0.0,13228000.0,0.0,35000.0,0.0,31297000.0,73446000.0,SUCCESS
628,2024-09-30,20932000.0,121256000.0,11672000.0,128548000.0,311378000.0,568673000.0,219536000.0,58971000.0,1298778000.0,236000.0,2499000.0,676000.0,5739000.0,14099000.0,655000.0,0.0,23904000.0,23000.0,100000.0,0.0,59473000.0,171606000.0,SUCCESS
32992,2024-09-30,959000.0,51150000.0,382000.0,8328000.0,0.0,65334000.0,0.0,0.0,74044000.0,5000.0,393000.0,0.0,176000.0,0.0,0.0,0.0,574000.0,0.0,54000.0,0.0,0.0,0.0,SUCCESS
33124,2024-09-30,798000.0,86537000.0,2915000.0,7159000.0,7193000.0,124426000.0,18165000.0,7788000.0,167646000.0,94000.0,302000.0,30000.0,1052000.0,2450000.0,1000.0,0.0,3929000.0,0.0,0.0,0.0,20123000.0,25500000.0,SUCCESS
34221,2024-09-30,3888000.0,5829000.0,0.0,7258000.0,65001000.0,68519000.0,0.0,2012000.0,142790000.0,0.0,174000.0,90000.0,47000.0,0.0,3000.0,0.0,314000.0,0.0,0.0,0.0,54000.0,23000.0,SUCCESS
57450,2024-09-30,0.0,380000.0,0.0,0.0,27234000.0,4636000.0,0.0,10651000.0,42521000.0,0.0,0.0,14000.0,6000.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2024-09-30,862630.0,6319634.0,3251.0,2211964.0,29778677.0,16524872.0,277504.0,34528835.0,83325103.0,8.0,37882.0,77597.0,5484.0,1070.0,3810.0,0.0,125851.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
