CERT,REPDTE,RCFD1545,RCON1545,RCFDJ454,RCONJ454,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2025-03-31,1215556.0,1215556.0,7235166.0,7235166.0,3335256.0,11932173.0,23046258.0,25210111.0,73799.0,226664.0,63824261.0,109337.0,164261.0,122239.0,313429.0,915.0,2877.0,0.0,713058.0,204.0,0.0,0.0,439577.0,2550762.0,SUCCESS
3511,2025-03-31,7194000.0,7194000.0,161673000.0,145989000.0,19981000.0,106488000.0,237384000.0,409828000.0,54607000.0,50654000.0,878942000.0,501000.0,2808000.0,558000.0,4093000.0,4840000.0,1240000.0,0.0,14040000.0,11000.0,67000.0,14000.0,27261000.0,23188000.0,SUCCESS
7213,2025-03-31,5639000.0,630000.0,102750000.0,63214000.0,7021000.0,26409000.0,138292000.0,317025000.0,162425000.0,8879000.0,660051000.0,80000.0,620000.0,219000.0,2217000.0,13404000.0,478000.0,0.0,17018000.0,82000.0,35000.0,0.0,23792000.0,63358000.0,SUCCESS
3510,2025-03-31,80039000.0,78848000.0,164426000.0,130527000.0,9205000.0,56334000.0,249930000.0,576994000.0,99731000.0,104087000.0,1096281000.0,74000.0,1130000.0,337000.0,3490000.0,7434000.0,778000.0,0.0,13243000.0,0.0,35000.0,0.0,32370000.0,72873000.0,SUCCESS
628,2025-03-31,112416000.0,68255000.0,189669000.0,155238000.0,11808000.0,128099000.0,306562000.0,585602000.0,223379000.0,58371000.0,1313821000.0,245000.0,2365000.0,785000.0,6151000.0,15000000.0,607000.0,0.0,25153000.0,30000.0,53000.0,0.0,52783000.0,169423000.0,SUCCESS
32992,2025-03-31,15279000.0,15279000.0,58108000.0,58108000.0,420000.0,8352000.0,0.0,71885000.0,0.0,0.0,80657000.0,4000.0,357000.0,0.0,202000.0,0.0,0.0,0.0,563000.0,0.0,58000.0,0.0,0.0,0.0,SUCCESS
33124,2025-03-31,2309000.0,937000.0,101392000.0,101174000.0,3062000.0,7105000.0,7803000.0,139800000.0,18812000.0,7977000.0,184559000.0,73000.0,176000.0,30000.0,1016000.0,2448000.0,1000.0,0.0,3744000.0,0.0,0.0,0.0,21504000.0,25905000.0,SUCCESS
34221,2025-03-31,66885000.0,66885000.0,5503000.0,5503000.0,0.0,7278000.0,67579000.0,74671000.0,0.0,465000.0,149993000.0,0.0,160000.0,121000.0,82000.0,0.0,11000.0,0.0,374000.0,0.0,0.0,0.0,206000.0,81000.0,SUCCESS
57450,2025-03-31,16746000.0,16746000.0,391000.0,391000.0,0.0,0.0,28137000.0,17495000.0,0.0,26000.0,45658000.0,0.0,0.0,15000.0,6000.0,0.0,0.0,0.0,21000.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2025-03-31,45666646.0,45666646.0,5695834.0,5695834.0,3804.0,2166913.0,30242174.0,51935786.0,276002.0,870654.0,85495333.0,10.0,35375.0,55486.0,7479.0,1024.0,1783.0,0.0,101157.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
