CERT,REPDTE,RCON1545,RCONJ454,RCONJ473,RCONJ474,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,FFIEC_PATCH_STATUS
17281,2022-09-30,6061166.0,1839153.0,384145.0,1141623.0,,,,,,,,,,,,,,,,,,,SUCCESS
3511,2022-09-30,5262000.0,135408000.0,3176000.0,13678000.0,21896000.0,126032000.0,249339000.0,398952000.0,43558000.0,63525000.0,903302000.0,520000.0,1629000.0,866000.0,4171000.0,3364000.0,1868000.0,0.0,12418000.0,16000.0,20000.0,48000.0,SUCCESS
7213,2022-09-30,650000.0,54577000.0,10100000.0,55246000.0,7213000.0,24166000.0,123344000.0,305983000.0,140962000.0,11686000.0,613354000.0,39000.0,181000.0,440000.0,3017000.0,10735000.0,359000.0,0.0,14771000.0,103000.0,3000.0,0.0,SUCCESS
3510,2022-09-30,6470000.0,60290000.0,3460000.0,19585000.0,8659000.0,59293000.0,242068000.0,515369000.0,87296000.0,104214000.0,1016899000.0,71000.0,1090000.0,384000.0,4233000.0,5879000.0,618000.0,0.0,12275000.0,0.0,29000.0,0.0,SUCCESS
628,2022-09-30,14967000.0,87440000.0,4548000.0,73642000.0,5705000.0,99752000.0,237751000.0,521036000.0,150795000.0,57891000.0,1072930000.0,74000.0,1206000.0,863000.0,5864000.0,9484000.0,686000.0,0.0,18177000.0,40000.0,11000.0,0.0,SUCCESS
32992,2022-09-30,1565000.0,42118000.0,0.0,0.0,296000.0,7557000.0,0.0,58733000.0,0.0,0.0,66586000.0,3000.0,212000.0,0.0,197000.0,0.0,0.0,0.0,412000.0,0.0,30000.0,0.0,SUCCESS
33124,2022-09-30,1679000.0,58747000.0,8011000.0,30211000.0,3166000.0,6864000.0,4818000.0,98932000.0,13580000.0,13518000.0,140878000.0,59000.0,92000.0,37000.0,1055000.0,1696000.0,701000.0,0.0,3640000.0,0.0,0.0,0.0,SUCCESS
34221,2022-09-30,3560000.0,5345000.0,2000.0,0.0,0.0,6150000.0,52904000.0,66389000.0,0.0,3591000.0,129034000.0,0.0,42000.0,87000.0,9000.0,0.0,3000.0,0.0,141000.0,0.0,0.0,0.0,SUCCESS
57565,2022-09-30,1653407.0,3715372.0,0.0,0.0,,,,,,,,,,,,,,,,,,,SUCCESS
