CERT,REPDTE,RCON1545,RCONJ454,RCONJ473,RCONJ474,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,FFIEC_PATCH_STATUS
17281,2020-06-30,3495384.0,2684239.0,700359.0,795956.0,,,,,,,,,,,,,,,,,,,SUCCESS
3511,2020-06-30,1873000.0,103436000.0,7082000.0,26725000.0,21710000.0,116348000.0,289309000.0,367286000.0,36018000.0,70710000.0,901381000.0,443000.0,2373000.0,1865000.0,7408000.0,3777000.0,2721000.0,0.0,18587000.0,9000.0,11000.0,0.0,SUCCESS
7213,2020-06-30,838000.0,50260000.0,8940000.0,27366000.0,6110000.0,17426000.0,134849000.0,323942000.0,138522000.0,25963000.0,646812000.0,35000.0,307000.0,1351000.0,5718000.0,15355000.0,804000.0,0.0,23570000.0,71000.0,0.0,0.0,SUCCESS
3510,2020-06-30,12864000.0,36328000.0,11414000.0,21979000.0,7407000.0,56687000.0,268291000.0,479345000.0,84244000.0,85841000.0,981815000.0,196000.0,2039000.0,811000.0,6195000.0,9247000.0,874000.0,0.0,19362000.0,0.0,18000.0,0.0,SUCCESS
628,2020-06-30,9141000.0,48311000.0,10206000.0,48352000.0,6063000.0,96254000.0,235161000.0,455272000.0,126875000.0,46500000.0,966125000.0,349000.0,1403000.0,3184000.0,10190000.0,15958000.0,987000.0,0.0,32071000.0,15000.0,8000.0,0.0,SUCCESS
32992,2020-06-30,1510000.0,30790000.0,0.0,0.0,128000.0,7295000.0,0.0,38469000.0,0.0,8062000.0,53954000.0,3000.0,229000.0,0.0,250000.0,0.0,0.0,0.0,482000.0,0.0,27000.0,0.0,SUCCESS
33124,2020-06-30,942000.0,31839000.0,10127000.0,24519000.0,2634000.0,3982000.0,291000.0,63054000.0,2282000.0,7526000.0,79769000.0,25000.0,66000.0,2000.0,1263000.0,327000.0,858000.0,0.0,2541000.0,0.0,0.0,0.0,SUCCESS
34221,2020-06-30,1412000.0,3747000.0,0.0,18000.0,0.0,4895000.0,32193000.0,19477000.0,0.0,13128000.0,69693000.0,0.0,33000.0,58000.0,15000.0,0.0,4000.0,0.0,110000.0,0.0,0.0,0.0,SUCCESS
57565,2020-06-30,441223.0,43864.0,0.0,0.0,,,,,,,,,,,,,,,,,,,SUCCESS
